PLAYER,SCORE,COUNT,TIER,MIGHT
Rhodry,21863,76,1,296037512
Hulk,17896,114,1,639651166
Morg,16802,118,1,116704695
Brandemet,14962,369,1,109368366
RatkoM,9262,61,1,245135892
Mighty Forger,7169,40,1,125058652
Heretical Hermit,6830,49,1,590941186
KARMA,6821,43,1,236113393
SJ III SoH,6627,57,1,351217066
Foxhunter,5493,55,1,99450432
Rudolf,5085,74,1,110322257
Braveheart,4653,52,1,135296210
Mr BaCk,4639,37,1,162991446
Gradog,4486,23,1,219679896
Nilaath,4444,55,1,135193996
Thoth,4415,39,1,96718506
Marvi,4374,95,1,135940231
Tumitac,3647,19,1,143335865
Karodor,3557,34,1,203144806
Fosida,3170,27,1,107617211
Feli,3122,20,1,134287266
Maximus Decimus,2839,18,1,180921476
doc48,2756,46,1,114506285
Mabrinad,2402,22,1,115051983
Grosvenor,2175,15,1,131520422
DAJMITU,2001,11,1,96369446
Diabolik,1849,84,1,124004166
Rain,1666,31,1,97148077
Germanicus,1510,23,1,161035845
Sire Menion,969,24,1,95167035
idaco,605,17,1,101344625
Lirinir,0,0,1,119815782
Accelerator,0,0,1,96304826
Rebellion,19588,71,2,55556310
Uhtred,15831,79,2,77742446
Thorn,13131,115,2,81605041
NEVIO,11360,103,2,73805410
Logan,8836,109,2,79496050
Alberikh,3208,20,2,69223911
Sir Cthulhu I,3195,29,2,55084356
Racibor,3000,28,2,73637906
Legolas,2296,35,2,94972006
Immortal,2065,96,2,90016932
Pearl,1906,37,2,76704476
MONTES,1877,446,2,83591256
Muradin Bronzebeard,1798,25,2,62060156
Well Constantino,1720,42,2,63071040
Amginir,1650,6,2,56956646
Eydaen,1557,92,2,56566116
DarkAngel,1556,47,2,61007391
D23,1480,27,2,69509956
Vlad the Impaler,1461,44,2,81877516
Bjorn,1455,14,2,86862006
Tricolor Carioca,1336,15,2,61708256
Sir RES,1314,55,2,58861901
Rainblade,1212,66,2,61569636
Maedrosin,1054,8,2,59395226
Fire Armor,990,13,2,75344990
Conjudred,858,10,2,91439176
Foolish Mortal,743,7,2,84216616
Kerilir,538,6,2,82928471
Xena,287,4,2,59563616
MILI,189,3,2,56195746
Xan,151,9,2,62010466
nervous,0,0,2,66669150
RED GUARDIAN,2671,28,3,30155631
Silverblade,2344,155,3,22391392
Mazura,2141,29,3,45675576
Lady G,2031,48,3,42582407
Granidred,1354,56,3,30033506
MADMAN,1071,20,3,50790746
Braveheart JNR,985,20,3,11978115
Nygus,914,59,3,21524421
Marcelo,735,37,3,53124515
Painmoon,685,15,3,53217216
Grozilkree,511,23,3,38666562
Dugul,404,8,3,11313157
Kall,364,16,3,
Marvilla,352,46,3,16499160
Saucy Joy,343,12,3,33375818
Bamsi,333,18,3,50861115
M MUSASHI,331,24,3,33452836
Kirimand,309,24,3,25198406
zipkinci,234,3,3,40456823
Bad FutherMucker,226,10,3,10040449
Grikelv,222,8,3,12539426
Lerinad,218,7,3,17176094
Heimdall,190,8,3,5615299
Nobody special,88,11,3,21299952
Tygradi,59,9,3,5759206
Maanan,54,16,3,2657860
Sterling Archer,51,3,3,10769964
Legon,35,14,3,4755566
3CPo,12,3,3,2662625
Quick,6,3,3,24692615
Cenaya,5,2,3,3555484
Felharne,0,0,3,8552011
MMM,0,834,,
Aegrosad,0,0,,
Archie,0,0,,
Arni,0,0,,
Black Mamba,0,0,,
Brann Bronzebeard,0,0,,
Brightskin,0,0,,
Cain,0,0,,
Catty,0,0,,
Cerim,0,0,,
Cesarz Saleka,0,0,,
Cesarzowa Cwieka,0,0,,
Cosmic Dancer,0,0,,
Cyril Figgis,0,0,,
DON IRON MIKE TYSON,0,0,,
Dacage,0,0,,
Dafur,0,0,,
Deep Inside,0,0,,
Digore,0,0,,
Doctor Krieger,0,0,,
Dr Bruce BANNER,0,0,,
Dragon Armor,0,0,,
Drugo,0,0,,
EL CHAPO GUZMAN,0,0,,
FERDAUS,0,0,,
Fagon,0,0,,
Fisk,0,0,,
Funfiren,0,0,,
Genghis Khan,0,0,,
Gros jnr,0,0,,
Haiiro,0,0,,
Immortal I,0,0,,
Jeepster,0,0,,
Jill,0,0,,
KASS,0,0,,
Kajko,0,0,,
Karo 3,0,0,,
Karodor2,0,0,,
Kit Carson,0,0,,
Kokosz,0,0,,
Kordobrek,0,0,,
Kyperion Du Torbiney,0,0,,
LETS GO BRANDON,0,0,,
Lanfir,0,0,,
Lanmoin,0,0,,
Lilor,0,0,,
Lorfanor,0,0,,
Luciditee,0,0,,
MMMm,0,0,,
Mador,0,0,,
Maelstrom,0,0,,
Mal the Uncrowned,0,0,,
Manandis,0,0,,
Marco,0,0,,
MarcusTulliusCicero,0,0,,
Masius,0,0,,
Meddry,0,0,,
Mingo 2,0,0,,
Modnar,0,0,,
Monster Killer,0,0,,
Morn,0,0,,
NaChos,0,0,,
Nevyn,0,0,,
Norbee1984,0,0,,
Ognisty Smok,0,0,,
Pryntyl,0,0,,
Puck,0,0,,
Ray Gillette,0,0,,
Rhodorix,0,0,,
Sabar,0,0,,
Sailv,0,0,,
Sassy Gal,0,0,,
Secret Keeper,0,0,,
Sir Chthulhu I,0,0,,
Smok,0,0,,
Smokn,0,0,,
StarSailor,0,0,,
TOKUGAWA NOBUNAGA,0,0,,
Tex Willer,0,0,,
Thor,0,0,,
Tonto,0,0,,
Turbrimir,0,0,,
Viper I,0,0,,
Xavier St Cloud,0,0,,
Xenia,0,0,,
ZaCk,0,0,,
semoury,0,0,,
