PLAYER,SCORE,COUNT
Racibor,36530,293
Karodor,34053,247
Mr BaCk,23622,148
Germanicus,21315,139
Heretical Hermit,19645,85
KARMA,12775,35
Gradog,12481,61
Fabrinir,12200,91
Braveheart,11913,104
D23,10527,81
doc48,9209,110
Brandemet,8813,200
Rhodry,8191,77
Sir James III Son of Hadur,8037,77
Feli,7949,63
Sir RES,6977,162
Tolnozin,6863,92
Alberikh,6826,30
NEVIO,6442,97
Morg,6440,42
Lirinir,5750,48
MADMAN,5508,62
Tumitac,4930,41
Marvi,4632,89
Eydaen,4551,102
Hulk,4297,12
Mighty Forger,4059,31
Immortal,3991,42
Nilaath,3928,34
MONTES,3842,482
Foxhunter,3685,30
Rudolf,3499,53
Logan,3474,99
Kerilir,3406,43
Thoth,3326,53
Tha Supreme,3285,46
Maedrosin,3200,27
Uhtred,3092,37
Legolas,3080,41
Painmoon,2922,37
Amginir,2889,18
Mabrinad,2737,33
RatkoM,2710,23
Monaoka,2639,100
Menelaos,2586,98
Jaakarhu,2476,25
Vlad the Impaler,2412,79
Grikelv,2200,61
Mausida,2114,59
Silverblade,2112,109
Well Constantino,2036,37
Golgotha,2000,19
Dabb,1934,36
Tex Willer,1882,18
Thorn,1878,43
Magda Ewa,1828,37
Grozilkree,1823,46
Fosida,1822,24
DarkAngel,1793,59
Kirimand,1693,59
Diabolik,1631,60
Granidred,1493,58
Marcelo,1372,62
Rainblade,1337,57
Marvilla,1170,59
Foolish Mortal,1025,12
Ladacznica,991,100
Rudepravo Italiano,991,20
Cain,986,58
Bjorn,964,26
Bamsi,919,40
idaco,890,30
Rain,888,31
AlexLeroc,760,23
Lerinad,753,17
Lady G,653,24
TOKUGAWA NOBUNAGA,647,44
Bunnyman,597,15
Unicorn X,500,6
Sir Cthulhu I,443,3
Xan,391,27
Saucy Joy,380,26
Rebellion,376,3
MIYAMOTO MUSASHI,268,30
DAJMITU,209,4
Diovani,153,13
zipkinci,153,9
Lordis,144,10
Ognisty Smok,101,22
MILI,59,7
Nobody special,40,4
Finvenen,2,2
MMM,0,73
3CPo,0,0
Accelerator,0,0
Aegrosad,0,0
Alexander Greek,0,0
Archie,0,0
Arni,0,0
Bad FutherMucker,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Braveheart JNR,0,0
Brightskin,0,0
Bubino71,0,0
Catty,0,0
Cenaya,0,0
Cerim,0,0
Cesarz Saleka,0,0
Cesarzowa Cwieka,0,0
Conjudred,0,0
Cosmic Dancer,0,0
Cyril Figgis,0,0
DON IRON MIKE TYSON,0,0
Dacage,0,0
Dafur,0,0
Deep Inside,0,0
Digore,0,0
Doctor Krieger,0,0
Dr Bruce BANNER,0,0
Dragon Armor,0,0
Drugo,0,0
Dugul,0,0
EL CHAPO GUZMAN,0,0
FERDAUS,0,0
Fagon,0,0
Felharne,0,0
Fire Armor,0,0
Fisk,0,0
Funfiren,0,0
Genghis Khan,0,0
Gros jnr,0,0
Grosvenor,0,0
Haiiro,0,0
Heimdall,0,0
Hermit,0,0
Immortal I,0,0
Jeepster,0,0
Jill,0,0
KASS,0,0
Kajko,0,0
Kall,0,0
Karo 3,0,0
Karodor2,0,0
Kit Carson,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
LETS GO BRANDON,0,0
Lady Hawke,0,0
Lanfir,0,0
Lanmoin,0,0
Legon,0,0
Lilor,0,0
Lirafin,0,0
Lorfanor,0,0
Luciditee,0,0
MMMm,0,0
MONA,0,0
Maanan,0,0
Mador,0,0
Maelstrom,0,0
Mal the Uncrowned,0,0
Manandis,0,0
Marco,0,0
MarcusTulliusCicero,0,0
Masius,0,0
Maximus Decimus,0,0
Mazura,0,0
Meddry,0,0
Minerva,0,0
Mingo 2,0,0
Modnar,0,0
Mogra,0,0
Monster Killer,0,0
Morn,0,0
Muradin Bronzebeard,0,0
NaChos,0,0
Nevyn,0,0
Norbee1984,0,0
Nygus,0,0
Pearl,0,0
Pryntyl,0,0
Puck,0,0
Quick,0,0
RED GUARDIAN,0,0
Ray Gillette,0,0
Rhodorix,0,0
Rori,0,0
Sabar,0,0
Sailv,0,0
Sassy Gal,0,0
Secret Keeper,0,0
Sir Chthulhu I,0,0
Sire Menion,0,0
Smok,0,0
Smokn,0,0
StarSailor,0,0
Sterling Archer,0,0
The Gladiator,0,0
Thor,0,0
Tonto,0,0
Tricolor Carioca,0,0
Turbrimir,0,0
Tygojind,0,0
Tygoran,0,0
Tygradi,0,0
Viper I,0,0
Xavier St Cloud,0,0
Xena,0,0
Xenia,0,0
ZaCk,0,0
aganaway,0,0
desperados,0,0
nervous,0,0
semoury,0,0
