PLAYER,COUNT,TIER,SCORE,,
Brandemet,376,1,23091,,5706
Karodor,371,1,65292,,
Mr BaCk,173,1,17498,,
Marvi,158,1,7613,,
Gradog,134,1,29632,,
Rudolf,95,1,6655,,
NEVIO,93,1,6366,,
doc48,78,1,4410,,
Rhodry,70,1,12642,,
Racibor,70,1,4738,,
Germanicus,66,1,13082,,
Feli,64,1,11584,,
Fabrinir,64,1,6448,,
Diabolik,61,1,2673,,
SJ III SoH,60,1,5167,,
Nilaath,49,1,7284,,
Tumitac,49,1,5763,,
Hulk,43,1,9069,,
Braveheart,42,1,4759,,
idaco,42,1,1776,,
KARMA,36,1,6813,,
Immortal,35,1,1461,,
Heretical Hermit,34,1,5815,,
Mabrinad,33,1,2881,,
Mighty Forger,28,1,4748,,
Legolas,23,1,2474,,
Amginir,21,1,3856,,
Morg,15,1,2539,,
Fosida,15,1,2188,,
Lirinir,13,1,1786,,
Logan,6,1,589,,
MONTES,461,2,2226,,
Sir RES,213,2,8446,,
Eydaen,186,2,4059,,
Menelaos,140,2,3848,,
Xan,96,2,1987,,
Vlad the Impaler,85,2,2173,,
Bamsi,71,2,1374,,
MILI,69,2,1396,,
Marcelo,58,2,962,,
Snowberry,53,2,2187,,
Foxhunter,52,2,3199,,
Rainblade,37,2,809,,
DAJMITU,36,2,3232,,
Dabb,35,2,1205,,
Uhtred,34,2,2726,,
Kerilir,31,2,2368,,
Bjorn,30,2,2404,,
Well Constantino,30,2,1969,,
Rudepravo Italiano,30,2,1779,,
Painmoon,26,2,3452,,
Alberikh,25,2,5149,,
Thoth,25,2,2386,,
Maedrosin,23,2,2934,,
DarkAngel,23,2,1200,,
Jaakarhu,22,2,1722,,
Magda Ewa,21,2,602,,
Golgotha,12,2,1285,,
Thorn,12,2,692,,
Tha Supreme,8,2,853,,
Foolish Mortal,3,2,252,,
Diovani,135,3,2310,,
Granidred,113,3,2201,,
Monaoka,95,3,2528,,
T NOBUNAGA,95,3,861,,
Grozilkree,84,3,3680,,
Silverblade,70,3,672,,
Kirimand,69,3,1643,,
Darvenen,57,3,598,,
MADMAN,55,3,4456,,
zipkinci,54,3,973,,
Lorfanor,43,3,309,,
Rhodorix,40,3,2337,,
Lady G,33,3,728,,
Grikelv,32,3,1375,,
RED GUARDIAN,24,3,2171,,
AlexLeroc,23,3,566,,
Finvenen,5,3,5,,
MMM,315,,0,,
3CPo,0,,0,,
Accelerator,0,,0,,
Aegrosad,0,,0,,
Alexander Greek,0,,0,,
Archie,0,,0,,
