DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2023-12-08,LUCKY BEAR,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2023-12-08,Foolish Mortal,Level 10 Crypt,Fire Chest,4,MMM
2023-12-08,Immortal,Level 20 Crypt,Elegant Chest,84,MMM
2023-12-08,Kirimand,Level 15 Crypt,Sand Chest,17,MMM
2023-12-08,Brandemet,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2023-12-08,Immortal,Level 15 Crypt,Bone Chest,17,MMM
2023-12-08,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2023-12-08,LUCKY BEAR,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2023-12-08,Brandemet,Level 10 Crypt,Sand Chest,4,MMM
2023-12-08,Brandemet,Level 15 Crypt,Forgotten Chest,17,MMM
2023-12-08,Brandemet,Level 5 Crypt,Forgotten Chest,1,MMM
2023-12-08,Immortal,Level 10 Citadel,Elven Citadel Chest,4,MMM
2023-12-08,Kirimand,Level 15 Crypt,Forgotten Chest,17,MMM
2023-12-08,Golgotha,Level 20 Crypt,Fire Chest,84,MMM
2023-12-08,Golgotha,Level 20 Crypt,Infernal Chest,84,MMM
2023-12-08,Sir Cthulhu I,Level 20 Crypt,Bone Chest,84,MMM
2023-12-08,Sir Cthulhu I,Level 5 Crypt,Fire Chest,1,MMM
2023-12-08,Golgotha,Level 20 Crypt,Bone Chest,84,MMM
2023-12-08,Braveheart,Level 35-39 Vault of the Ancients,Sapphire Chest,100,MMM
2023-12-08,Sir Cthulhu I,Level 10 Crypt,Sand Chest,4,MMM
2023-12-08,Fosida,Level 20 Crypt,Mayan Chest,84,MMM
2023-12-08,MONTES P,Level 10 Citadel,Elven Citadel Chest,4,MMM
2023-12-08,Fosida,Level 20 Crypt,Cobra Chest,84,MMM
2023-12-08,Fosida,Level 20 Crypt,Cobra Chest,84,MMM
2023-12-08,LUCKY BEAR,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
