PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
Heretical Hermit,0,0,0,0,0,0,444,444
Rhodry,0,6,3,9,1,60,295,374
NEVIO,0,26,56,2,0,208,33,325
Snowberry,148,22,4,0,0,1,0,175
Alberikh,14,24,67,24,0,35,1,165
Sir James III Son of Hadur,0,78,4,4,12,0,6,104
Karodor,0,0,0,66,8,1,20,95
Brandemet,4,10,13,2,12,10,43,94
Morg,0,0,38,3,17,12,2,72
Sir RES,22,40,9,1,0,0,0,72
Diovani,45,20,1,0,0,0,0,66
Fosida,6,36,2,0,0,18,0,62
Thoth,1,54,3,0,0,1,0,59
Xan,17,25,9,0,0,5,0,56
Mr BaCk,2,13,6,13,1,5,15,55
Granidred,14,23,11,0,0,0,0,48
Uhtred,0,0,4,0,0,43,0,47
Fabrinir,0,4,10,8,0,20,4,46
Gradog,0,5,7,33,0,0,0,45
Marvi,10,14,14,0,0,4,0,42
Feli,0,1,20,0,0,20,0,41
Legolas,1,16,15,0,0,7,0,39
Rudolf,2,9,9,0,0,9,10,39
Kosti,0,0,26,0,0,12,0,38
Braveheart,0,3,24,1,9,0,0,37
Menelaos,9,14,13,0,0,0,0,36
Germanicus,0,1,1,24,1,0,6,33
MONTES,31,2,0,0,0,0,0,33
Grozilkree,4,11,11,2,0,3,0,31
Nilaath,2,12,16,1,0,0,0,31
TOKUGAWA NOBUNAGA,11,20,0,0,0,0,0,31
Funfiren,15,15,0,0,0,0,0,30
Mighty Forger,0,0,16,14,0,0,0,30
Lady G,3,15,11,0,0,0,0,29
Mabrinad,1,6,16,0,0,6,0,29
Rainblade,10,19,0,0,0,0,0,29
MADMAN,0,14,13,0,0,0,0,27
Racibor,1,8,11,0,0,5,0,25
Vlad the Impaler,11,5,4,1,0,4,0,25
Eydaen,10,8,3,0,0,1,0,22
Maximus Decimus,1,21,0,0,0,0,0,22
