PLAYER,SCORE,COUNT
Heretical Hermit,21005,88
Marvi,5415,82
Germanicus,5348,51
RatkoM,4901,35
Hulk,4850,34
Lirinir,4320,35
Alberikh,3645,20
Nilaath,3395,39
Sir RES,3376,110
Gradog,2711,32
Tumitac,2513,20
Mr BaCk,2195,32
Feli,2129,23
Vlad the Impaler,2019,39
doc48,1942,18
Conjudred,1715,22
aganaway,1646,29
D23,1625,24
Legolas,1602,32
MADMAN,1597,30
Racibor,1575,18
Morg,1567,15
Rudolf,1536,44
Mighty Forger,1459,24
Thoth,1424,16
Rain,1404,25
Uhtred,1369,14
TOKUGAWA NOBUNAGA,1353,31
Brandemet,1344,27
Fire Armor,1260,11
Grosvenor,1227,10
Kirimand,1147,36
Bamsi,1131,42
Maedrosin,1067,14
Sir Cthulhu I,1060,9
idaco,1056,26
Bubino71,1050,5
Nygus,1013,29
Kerilir,1008,9
Marcelo,1006,33
Foolish Mortal,993,16
Bjorn,950,8
Well Constantino,910,29
MarcusTulliusCicero,906,24
Tha Supreme,890,12
Rebellion,871,10
RED GUARDIAN,823,16
Rudepravo Italiano,822,19
Braveheart JNR,808,22
Logan,802,17
Silverblade,800,45
Diabolik,783,27
NEVIO,774,12
desperados,773,9
Thorn,768,17
Alexander Greek,751,15
Eydaen,735,25
Fosida,727,8
Rori,724,19
Mabrinad,717,14
Mazura,708,16
MONTES,686,12
Grozilkree,675,18
Mausida,598,21
Painmoon,538,9
Foxhunter,518,4
Rainblade,510,31
Jill,500,10
DarkAngel,485,13
Lady G,471,15
Immortal,429,14
Muradin Bronzebeard,340,4
Lady Hawke,305,7
DAJMITU,304,5
Lirafin,208,6
Saucy Joy,194,6
Turbrimir,147,18
Dr Bruce BANNER,102,3
Gros jnr,94,3
Grikelv,76,3
Minerva,68,4
Sabar,51,3
Nobody special,25,3
zipkinci,17,1
MILI,8,4
Xan,7,4
Ognisty Smok,3,3
Finvenen,1,1
MMM,0,23
3CPo,0,0
Accelerator,0,0
Aegrosad,0,0
Amginir,0,0
Archie,0,0
Arni,0,0
Bad FutherMucker,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Braveheart,0,0
Brightskin,0,0
Cain,0,0
Catty,0,0
Cenaya,0,0
Cerim,0,0
Cesarz Saleka,0,0
Cesarzowa Cwieka,0,0
Cosmic Dancer,0,0
Cyril Figgis,0,0
DON IRON MIKE TYSON,0,0
Dacage,0,0
Dafur,0,0
Deep Inside,0,0
Digore,0,0
Doctor Krieger,0,0
Dragon Armor,0,0
Drugo,0,0
Dugul,0,0
EL CHAPO GUZMAN,0,0
FERDAUS,0,0
Fagon,0,0
Felharne,0,0
Fisk,0,0
Funfiren,0,0
Genghis Khan,0,0
Granidred,0,0
Haiiro,0,0
Heimdall,0,0
Hermit,0,0
Immortal I,0,0
Jeepster,0,0
KARMA,0,0
KASS,0,0
Kajko,0,0
Kall,0,0
Karo 3,0,0
Karodor,0,0
Karodor2,0,0
Kit Carson,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
LETS GO BRANDON,0,0
Lanfir,0,0
Lanmoin,0,0
Legon,0,0
Lerinad,0,0
Lilor,0,0
Lorfanor,0,0
Luciditee,0,0
MIYAMOTO MUSASHI,0,0
MMMm,0,0
Maanan,0,0
Mador,0,0
Maelstrom,0,0
Mal the Uncrowned,0,0
Manandis,0,0
Marco,0,0
Marvilla,0,0
Masius,0,0
Maximus Decimus,0,0
Meddry,0,0
Mingo 2,0,0
Modnar,0,0
Monster Killer,0,0
Morn,0,0
NaChos,0,0
Nevyn,0,0
Norbee1984,0,0
Pearl,0,0
Pryntyl,0,0
Puck,0,0
Quick,0,0
Ray Gillette,0,0
Rhodorix,0,0
Rhodry,0,0
Sailv,0,0
Sassy Gal,0,0
Secret Keeper,0,0
Sir Chthulhu I,0,0
Sir James III Son of Hadur,0,0
Sire Menion,0,0
Smok,0,0
Smokn,0,0
StarSailor,0,0
Sterling Archer,0,0
Tex Willer,0,0
The Gladiator,0,0
Thor,0,0
Tonto,0,0
Tricolor Carioca,0,0
Tygojind,0,0
Tygoran,0,0
Tygradi,0,0
Viper I,0,0
Xavier St Cloud,0,0
Xena,0,0
Xenia,0,0
ZaCk,0,0
nervous,0,0
semoury,0,0
