PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
Alberikh,0,117,3,118,0,399,28,665
Heretical Hermit,0,0,0,0,500,0,0,500
Rhodry,0,16,0,2,47,2,379,446
Karodor,16,43,0,0,2,10,363,434
Granidred,70,193,99,0,0,31,0,393
NEVIO,0,38,18,0,0,214,6,276
Tumitac,0,0,0,82,0,0,192,274
Marvi,4,5,5,3,0,3,214,234
Diovani,113,40,7,0,0,52,0,212
Brandemet,6,17,11,5,53,4,77,173
Mal,0,0,0,26,135,0,0,161
Amginir,8,9,29,0,0,94,10,150
Snowberry,90,9,25,0,0,4,0,128
Sir James III Son of Hadur,0,37,43,32,4,0,0,116
LUCKY BEAR,0,106,0,0,0,1,0,107
Mr BaCk,1,31,45,15,0,3,0,95
Gradog,0,0,0,83,0,0,0,83
Fabrinir,0,1,1,33,0,0,43,78
Marcelo,22,30,6,0,0,17,1,76
Menelaos,4,19,31,1,1,3,5,64
Germanicus,0,0,2,34,14,0,10,60
Thoth,0,13,43,0,0,0,0,56
Morg,0,0,34,5,8,0,2,49
Defur,44,1,1,0,0,0,0,46
Fosida,15,23,0,0,0,7,0,45
Rainblade,9,26,7,0,0,0,0,42
Mighty Forger,0,0,40,0,0,0,0,40
Braveheart,0,0,6,28,5,0,0,39
Racibor,0,10,17,5,0,7,0,39
Rudolf,0,2,11,0,0,8,18,39
Legolas,0,16,13,2,0,0,7,38
Lirinir,0,0,1,1,30,0,1,33
Funfiren,12,16,1,0,0,1,0,30
Hulk,0,0,0,0,30,0,0,30
Xan,0,11,3,0,0,16,0,30
Feli,0,6,8,4,0,1,10,29
Lady G,5,14,7,0,0,1,0,27
Grikelv,1,10,5,6,0,3,1,26
DAJMITU,0,0,2,0,0,0,23,25
Kosti,0,0,21,0,0,4,0,25
Portia,7,9,9,0,0,0,0,25
Maveriel,23,1,0,0,0,0,0,24
Sir RES,8,9,7,0,0,0,0,24
Berohef,1,21,0,0,0,0,0,22
White Knight,6,8,0,8,0,0,0,22
Mabrinad,0,3,14,0,0,2,2,21
Nilaath,1,9,7,4,0,0,0,21
Jaakarhu,0,1,18,0,0,0,0,19
Immortal,1,1,0,9,0,0,6,17
Vlad the Impaler,8,3,4,1,0,1,0,17
Foxhunter,1,0,4,10,0,0,1,16
Monaoka,0,0,16,0,0,0,0,16
Grozilkree,6,5,2,0,0,0,0,13
MONTES P,10,0,0,0,0,0,0,10
Uhtred,0,0,0,2,0,0,8,10
Foolish Mortal,0,4,5,0,0,0,0,9
Sir Cthulhu I,1,1,2,5,0,0,0,9
Logan,2,6,0,0,0,0,0,8
Thorn,1,0,2,1,0,1,3,8
Eydaen,0,0,4,0,0,2,0,6
Well Constantino,0,0,3,0,0,3,0,6
doc48,2,0,1,2,1,0,0,6
AlexLeroc,0,2,0,0,0,3,0,5
MADMAN,0,0,5,0,0,0,0,5
MILI,3,1,1,0,0,0,0,5
Ladacznica,1,3,0,0,0,0,0,4
Viper,4,0,0,0,0,0,0,4
Akinomuro,0,3,0,0,0,0,0,3
Bamsi,0,3,0,0,0,0,0,3
Golgotha,0,0,3,0,0,0,0,3
Kirimand,0,3,0,0,0,0,0,3
MarcusTulliusCicero,1,2,0,0,0,0,0,3
Diabolik,1,1,0,0,0,0,0,2
Lorfanor,0,2,0,0,0,0,0,2
Vugul,0,0,1,0,0,1,0,2
Nevio500,1,0,0,0,0,0,0,1
Sir Doc,1,0,0,0,0,0,0,1
Thorn K500,1,0,0,0,0,0,0,1
3CPo,0,0,0,0,0,0,0,0
Accelerator,0,0,0,0,0,0,0,0
Aegrosad,0,0,0,0,0,0,0,0
Alexander Greek,0,0,0,0,0,0,0,0
Archie,0,0,0,0,0,0,0,0
Arni,0,0,0,0,0,0,0,0
Bad FutherMucker,0,0,0,0,0,0,0,0
Bjorn,0,0,0,0,0,0,0,0
Black Mamba,0,0,0,0,0,0,0,0
Brann Bronzebeard,0,0,0,0,0,0,0,0
Braveheart JNR,0,0,0,0,0,0,0,0
Brightskin,0,0,0,0,0,0,0,0
Bubino71,0,0,0,0,0,0,0,0
Bunnyman,0,0,0,0,0,0,0,0
Cain,0,0,0,0,0,0,0,0
Catty,0,0,0,0,0,0,0,0
Cenaya,0,0,0,0,0,0,0,0
Cerim,0,0,0,0,0,0,0,0
Cesarz Saleka,0,0,0,0,0,0,0,0
Cesarzowa Cwieka,0,0,0,0,0,0,0,0
Conjudred,0,0,0,0,0,0,0,0
Cosmic Dancer,0,0,0,0,0,0,0,0
Cyril Figgis,0,0,0,0,0,0,0,0
D23,0,0,0,0,0,0,0,0
DON IRON MIKE TYSON,0,0,0,0,0,0,0,0
Dabb,0,0,0,0,0,0,0,0
Dacage,0,0,0,0,0,0,0,0
Dafur,0,0,0,0,0,0,0,0
DarkAngel,0,0,0,0,0,0,0,0
Darvenen,0,0,0,0,0,0,0,0
Deep Inside,0,0,0,0,0,0,0,0
Digore,0,0,0,0,0,0,0,0
Doctor Krieger,0,0,0,0,0,0,0,0
Dr Bruce BANNER,0,0,0,0,0,0,0,0
Dragon Armor,0,0,0,0,0,0,0,0
Drugo,0,0,0,0,0,0,0,0
Dugul,0,0,0,0,0,0,0,0
EL CHAPO GUZMAN,0,0,0,0,0,0,0,0
EVA,0,0,0,0,0,0,0,0
Eyfedef,0,0,0,0,0,0,0,0
FERDAUS,0,0,0,0,0,0,0,0
Fagon,0,0,0,0,0,0,0,0
Fanlotilas,0,0,0,0,0,0,0,0
Fearlessbeard,0,0,0,0,0,0,0,0
Felharne,0,0,0,0,0,0,0,0
Finan,0,0,0,0,0,0,0,0
Finvenen,0,0,0,0,0,0,0,0
Fire Armor,0,0,0,0,0,0,0,0
Fisk,0,0,0,0,0,0,0,0
Genghis Khan,0,0,0,0,0,0,0,0
Graveleye,0,0,0,0,0,0,0,0
Gros jnr,0,0,0,0,0,0,0,0
Grosvenor,0,0,0,0,0,0,0,0
Haiiro,0,0,0,0,0,0,0,0
Heimdall,0,0,0,0,0,0,0,0
Hermit,0,0,0,0,0,0,0,0
Immortal I,0,0,0,0,0,0,0,0
Jeepster,0,0,0,0,0,0,0,0
Jill,0,0,0,0,0,0,0,0
KARMA,0,0,0,0,0,0,0,0
KASS,0,0,0,0,0,0,0,0
Kajko,0,0,0,0,0,0,0,0
Kall,0,0,0,0,0,0,0,0
Karo,0,0,0,0,0,0,0,0
Karo 3,0,0,0,0,0,0,0,0
Karodor2,0,0,0,0,0,0,0,0
Kerilir,0,0,0,0,0,0,0,0
Kit Carson,0,0,0,0,0,0,0,0
Kokosz,0,0,0,0,0,0,0,0
Kordobrek,0,0,0,0,0,0,0,0
Kyperion Du Torbiney,0,0,0,0,0,0,0,0
LETS GO BRANDON,0,0,0,0,0,0,0,0
Lady Hawke,0,0,0,0,0,0,0,0
Lanfir,0,0,0,0,0,0,0,0
Lanmoin,0,0,0,0,0,0,0,0
Legon,0,0,0,0,0,0,0,0
Lerinad,0,0,0,0,0,0,0,0
Lilor,0,0,0,0,0,0,0,0
Lirafin,0,0,0,0,0,0,0,0
Lordis,0,0,0,0,0,0,0,0
Luciditee,0,0,0,0,0,0,0,0
MIYAMOTO MUSASHI,0,0,0,0,0,0,0,0
MMM,0,0,0,0,0,0,0,0
MMMm,0,0,0,0,0,0,0,0
MONA,0,0,0,0,0,0,0,0
MONTES,0,0,0,0,0,0,0,0
Maanan,0,0,0,0,0,0,0,0
Mador,0,0,0,0,0,0,0,0
Maedrosin,0,0,0,0,0,0,0,0
Maelstrom,0,0,0,0,0,0,0,0
Magda Ewa,0,0,0,0,0,0,0,0
Mal the Uncrowned,0,0,0,0,0,0,0,0
Manandis,0,0,0,0,0,0,0,0
Marco,0,0,0,0,0,0,0,0
Marvilla,0,0,0,0,0,0,0,0
Marvina,0,0,0,0,0,0,0,0
Masius,0,0,0,0,0,0,0,0
Mausida,0,0,0,0,0,0,0,0
Maximus Decimus,0,0,0,0,0,0,0,0
Mazura,0,0,0,0,0,0,0,0
Meddry,0,0,0,0,0,0,0,0
Minerva,0,0,0,0,0,0,0,0
Mingo 2,0,0,0,0,0,0,0,0
Modnar,0,0,0,0,0,0,0,0
Moginn,0,0,0,0,0,0,0,0
Mogra,0,0,0,0,0,0,0,0
Monster Killer,0,0,0,0,0,0,0,0
Morardin,0,0,0,0,0,0,0,0
Morn,0,0,0,0,0,0,0,0
Muradin Bronzebeard,0,0,0,0,0,0,0,0
NaChos,0,0,0,0,0,0,0,0
Nevyn,0,0,0,0,0,0,0,0
Nobody special,0,0,0,0,0,0,0,0
Norbee1984,0,0,0,0,0,0,0,0
