PLAYER,SCORE,COUNT,TIER
Hulk,25812,83,1
SJ III SoH,20711,65,1
Heretical Hermit,14665,47,1
Marvi,8941,135,1
Rhodry,7949,29,1
Mighty Forger,7866,58,1
Rudolf,5576,60,1
RatkoM,5296,23,1
Morg,4872,37,1
Mr BaCk,4746,32,1
Tumitac,4319,24,1
DAJMITU,3861,24,1
Thoth,3718,29,1
Foxhunter,3107,74,1
Nilaath,3100,22,1
Lirinir,2986,21,1
Grosvenor,2895,14,1
Maximus Decimus,2870,14,1
Gradog,2582,24,1
KARMA,2579,10,1
doc48,2463,21,1
Karodor,2432,26,1
Braveheart,2185,38,1
Feli,1963,12,1
Brandemet,1765,20,1
Germanicus,1762,17,1
Legolas,1753,10,1
Fosida,1415,13,1
Rain,1220,18,1
Mabrinad,888,9,1
idaco,746,15,1
Diabolik,178,10,1
Sire Menion,86,4,1
Accelerator,0,0,1
Racibor,13794,89,2
Bjorn,4828,39,2
Xena,4497,57,2
Thorn,3518,31,2
Uhtred,3506,34,2
Alberikh,2765,20,2
Foolish Mortal,2718,90,2
Pearl,2703,28,2
Muradin Bb,2495,46,2
Logan,2470,64,2
Fire Armor,2344,26,2
NEVIO,2325,23,2
Vlad the Impaler,2317,87,2
D23,2111,28,2
Sir RES,2061,87,2
Sir Cthulhu I,1925,21,2
Rebellion,1824,14,2
Maedrosin,1497,11,2
DarkAngel,1479,54,2
Well Constantino,1288,26,2
Amginir,1160,7,2
Rainblade,1015,39,2
Eydaen,934,59,2
Tricolor Carioca,840,10,2
Kerilir,666,9,2
Immortal,636,29,2
MONTES,510,10,2
MILI,481,4,2
Conjudred,465,6,2
Xan,428,9,2
Tha Supreme,5229,48,3
RED GUARDIAN,3089,55,3
MADMAN,2499,38,3
B FutherMucker,2034,18,3
Grozilkree,1346,62,3
Bamsi,1124,31,3
Marcelo,942,43,3
Granidred,679,27,3
Nygus,665,34,3
Lady G,631,15,3
T NOBUNAGA,593,30,3
Kirimand,549,32,3
Painmoon,521,15,3
Kall,496,11,3
zipkinci,322,15,3
Lerinad,278,7,3
Dugul,227,5,3
Felharne,204,2,3
Marvilla,198,31,3
Nobody special,165,12,3
Mazura,145,16,3
Silverblade,139,20,3
Saucy Joy,84,10,3
LG BRANDON,57,11,3
Sterling Archer,51,3,3
Maanan,50,15,3
Legon,45,13,3
Tygradi,28,7,3
Heimdall,18,2,3
Quick,18,2,3
Braveheart JNR,5,2,3
Dr Bruce BANNER,1,1,3
3CPo,0,0,3
MMM,0,930,
Aegrosad,0,0,
Archie,0,0,
Arni,0,0,
Black Mamba,0,0,
Brann Bronzebeard,0,0,
Brightskin,0,0,
Cain,0,0,
Catty,0,0,
Cenaya,0,0,
Cerim,0,0,
Cesarz Saleka,0,0,
Cesarzowa Cwieka,0,0,
Cosmic Dancer,0,0,
Cyril Figgis,0,0,
DON IRON MIKE TYSON,0,0,
Dacage,0,0,
Dafur,0,0,
Deep Inside,0,0,
Digore,0,0,
Doctor Krieger,0,0,
Dragon Armor,0,0,
Drugo,0,0,
EL CHAPO GUZMAN,0,0,
FERDAUS,0,0,
Fagon,0,0,
Fisk,0,0,
Funfiren,0,0,
Genghis Khan,0,0,
Grikelv,0,0,
Gros jnr,0,0,
Haiiro,0,0,
Immortal I,0,0,
Jeepster,0,0,
Jill,0,0,
KASS,0,0,
Kajko,0,0,
Karo 3,0,0,
Karodor2,0,0,
Kit Carson,0,0,
Kokosz,0,0,
Kordobrek,0,0,
Kyperion Du Torbiney,0,0,
Lanfir,0,0,
Lanmoin,0,0,
Lilor,0,0,
Lorfanor,0,0,
Luciditee,0,0,
MIYAMOTO MUSASHI,0,0,
MMMm,0,0,
Mador,0,0,
Maelstrom,0,0,
Mal the Uncrowned,0,0,
Manandis,0,0,
Marco,0,0,
MarcusTulliusCicero,0,0,
Masius,0,0,
Meddry,0,0,
Mingo 2,0,0,
Modnar,0,0,
Monster Killer,0,0,
Morn,0,0,
NaChos,0,0,
Nevyn,0,0,
Norbee1984,0,0,
Ognisty Smok,0,0,
Pryntyl,0,0,
Puck,0,0,
Ray Gillette,0,0,
Rhodorix,0,0,
Sabar,0,0,
Sailv,0,0,
Sassy Gal,0,0,
Secret Keeper,0,0,
Sir Chthulhu I,0,0,
Smok,0,0,
Smokn,0,0,
StarSailor,0,0,
Tex Willer,0,0,
Thor,0,0,
Tonto,0,0,
Turbrimir,0,0,
Viper I,0,0,
Xavier St Cloud,0,0,
Xenia,0,0,
ZaCk,0,0,
nervous,0,0,
semoury,0,0,
