PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
Granidred,172,429,98,0,0,12,0,711
Heretical Hermit,0,0,0,0,650,0,0,650
Alberikh,0,0,11,99,0,210,1,321
Xan,3,132,0,0,0,78,0,213
NEVIO,0,3,22,0,0,165,0,190
Snowberry,164,11,1,0,0,6,0,182
Tumitac,0,0,5,78,0,1,92,176
Karodor,0,0,0,3,0,0,172,175
Brandemet,1,4,2,6,63,19,56,151
Diabolik,61,73,12,0,0,0,0,146
Diovani,97,30,5,0,0,2,0,134
Marcelo,32,53,8,0,0,30,1,124
Rhodry,17,0,0,0,11,0,78,106
LUCKY BEAR,0,98,1,0,0,3,0,102
Amginir,26,27,28,0,0,17,0,98
Menelaos,9,16,29,4,0,4,2,64
Mr BaCk,1,9,15,18,2,3,6,54
Mighty Forger,0,0,37,12,0,0,0,49
Legolas,6,15,20,1,0,4,0,46
Sir James III Son of Hadur,0,21,9,16,0,0,0,46
Sir RES,16,19,8,0,0,0,0,43
Rudolf,1,4,25,0,0,7,5,42
Fabrinir,0,0,5,16,0,0,19,40
Marvi,8,6,17,1,0,7,0,39
Defur,32,5,0,0,0,0,0,37
MILI,19,13,4,0,0,0,0,36
Gradog,0,5,0,30,0,0,0,35
Hulk,0,0,0,0,35,0,0,35
Kosti,0,2,23,0,0,10,0,35
Grikelv,0,11,13,0,0,10,0,34
White Knight,10,19,2,3,0,0,0,34
Thoth,0,28,5,0,0,0,0,33
Monaoka,0,26,6,0,0,0,0,32
Feli,0,5,5,9,1,4,7,31
Mal,0,0,0,2,27,0,0,29
Berohef,10,18,0,0,0,0,0,28
Foolish Mortal,6,4,15,1,0,2,0,28
Germanicus,1,0,0,12,9,0,5,27
MADMAN,0,8,17,0,0,0,0,25
Mabrinad,0,0,13,3,0,7,2,25
Rainblade,6,13,5,0,0,0,0,24
Nilaath,2,0,15,6,0,0,0,23
Foxhunter,3,0,2,6,1,0,10,22
Lirinir,0,0,0,8,12,0,1,21
Funfiren,7,11,0,0,0,2,0,20
Uhtred,0,0,2,4,0,3,11,20
MONTES P,19,0,0,0,0,0,0,19
doc48,4,2,10,0,3,0,0,19
Lady G,11,7,0,0,0,0,0,18
Morg,0,0,11,0,1,5,0,17
Braveheart,0,1,14,0,0,1,0,16
Fosida,2,6,1,0,0,5,0,14
Immortal,0,1,3,6,0,1,3,14
Racibor,0,6,3,0,0,4,0,13
Eydaen,9,2,1,0,0,0,0,12
Grozilkree,1,5,5,0,0,1,0,12
Portia,4,8,0,0,0,0,0,12
Vlad the Impaler,2,6,4,0,0,0,0,12
Bamsi,3,3,5,0,0,0,0,11
Logan,0,7,4,0,0,0,0,11
Golgotha,0,1,9,0,0,0,0,10
Magda Ewa,0,6,4,0,0,0,0,10
Jaakarhu,0,4,1,4,0,0,0,9
Masius,6,2,1,0,0,0,0,9
Sir Doc,7,0,0,0,0,0,0,7
Maveriel,4,0,0,0,0,0,0,4
Rudepravo Italiano,0,2,0,0,0,1,0,3
