PLAYER,COUNT,TIER,SCORE,,
Marvi,247,1,13287,,
Karodor,179,1,15235,,
Brandemet,125,1,3513,,
Rudolf,120,1,5660,,4467
Mr BaCk,115,1,13625,,
KARMA,112,1,25412,,
SJ III SoH,106,1,18281,,
doc48,106,1,12033,,
Germanicus,88,1,13519,,
Gradog,79,1,14574,,
Fabrinir,76,1,10923,,
Lirinir,61,1,7537,,
NEVIO,58,1,7937,,
Feli,57,1,6345,,
Immortal,50,1,6034,,
Rhodry,46,1,8234,,
Nilaath,40,1,5753,,
Tumitac,40,1,5254,,
Diabolik,40,1,2793,,
Heretical Hermit,38,1,13130,,
Mabrinad,38,1,2566,,
Legolas,29,1,2845,,
Fosida,27,1,3838,,
Logan,27,1,1201,,
Hulk,23,1,2945,,
Mighty Forger,21,1,3965,,
Rain,17,1,1167,,
Morg,12,1,1720,,
RatkoM,2,1,550,,
Braveheart,0,1,0,,
idaco,0,1,0,,
Sir RES,129,2,2936,,
Eydaen,112,2,1876,,
Vlad the Impaler,106,2,3556,,
Mogra,103,2,8386,,
DarkAngel,80,2,1915,,
Racibor,76,2,4418,,
D23,60,2,7639,,
Marcelo,60,2,1341,,
Rainblade,51,2,1167,,
Thoth,45,2,4383,,
Bamsi,41,2,948,,
Uhtred,38,2,4372,,
Xan,36,2,847,,
Dabb,32,2,1085,,
Alberikh,30,2,6838,,
Well Constantino,26,2,1397,,
Magda Ewa,26,2,962,,
Foxhunter,25,2,1405,,
Golgotha,24,2,3459,,
Kerilir,24,2,2631,,
Maedrosin,23,2,2078,,
Rudepravo Itali,23,2,2041,,
Bjorn,22,2,1315,,
Painmoon,20,2,1642,,
Thorn,20,2,955,,
Tha Supreme,20,2,668,,
MILI,13,2,305,,
Jaakarhu,11,2,939,,
Amginir,9,2,1936,,
MONTES,8,2,1655,,
DAJMITU,8,2,1586,,
Foolish Mortal,6,2,303,,
Sir Cthulhu I,0,2,0,,
Tolnozin,148,3,6975,,
Marvilla,121,3,1590,,
Bunnyman,95,3,6303,,
Grozilkree,82,3,2306,,
Granidred,73,3,1443,,
Kirimand,70,3,1870,,
MADMAN,65,3,4385,,
RED GUARDIAN,50,3,3219,,
AlexLeroc,47,3,1777,,
Mausida,44,3,1679,,
