PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
Alberikh,0,0,27,36,12,110,21,206
NEVIO,0,0,8,39,0,1,140,188
Heretical Hermit,0,0,0,0,148,0,3,151
Diovani,93,1,28,14,0,11,3,150
Rhodry,0,3,1,86,22,1,35,148
Marcelo,37,93,1,0,0,0,0,131
Fabrinir,0,0,0,71,0,0,51,122
Buririel,0,62,49,0,0,3,0,114
Snowberry,5,3,11,40,0,6,49,114
Gradog,0,0,0,57,0,0,27,84
Menelaos,5,19,23,7,2,1,5,62
Sir James III Son of Hadur,0,43,7,3,0,0,0,53
Defur,49,2,0,0,0,0,0,51
Berohef,0,48,0,0,0,0,0,48
Marvi,0,0,1,14,0,9,24,48
Feli,0,3,38,0,4,1,0,46
Xan,1,0,43,0,0,0,0,44
DarkAngel,41,0,0,0,0,0,0,41
Eydaen,20,6,14,0,0,1,0,41
Granidred,7,14,15,0,0,4,0,40
Mighty Forger,0,0,40,0,0,0,0,40
Amginir,0,3,1,22,0,0,10,36
Sir RES,13,9,13,0,0,1,0,36
Germanicus,2,0,3,17,7,0,6,35
Rudolf,0,0,19,7,0,3,4,33
Kosti,0,0,28,0,0,4,0,32
Grozilkree,8,14,5,0,0,2,0,29
Tumitac,0,0,0,16,6,0,7,29
Funfiren,6,5,11,0,0,4,0,26
Maedrosin,9,6,9,1,0,1,0,26
Uhtred,0,0,21,0,0,4,0,25
Mal,0,10,7,0,7,0,0,24
Morg,0,0,11,10,0,1,1,23
Racibor,0,1,12,3,4,2,1,23
TOKUGAWA NOBUNAGA,3,20,0,0,0,0,0,23
MONTES P,20,1,0,0,0,0,0,21
Dimes,7,10,3,0,0,0,0,20
Hulk,0,0,0,0,20,0,0,20
Rudepravo Italiano,4,9,5,1,0,0,1,20
MILI,4,7,7,1,0,0,0,19
AlexLeroc,0,3,10,1,0,3,1,18
Nilaath,1,0,14,3,0,0,0,18
Grikelv,0,5,11,0,0,1,0,17
MADMAN,0,17,0,0,0,0,0,17
Legolas,0,0,0,11,0,0,5,16
Magda Ewa,2,3,9,1,0,0,0,15
Logan,4,9,1,0,0,0,0,14
Sir Cthulhu I,0,0,1,6,1,0,6,14
Braveheart,0,4,7,0,0,0,0,11
Brandemet,1,0,1,6,0,1,0,9
