PLAYER,SCORE,COUNT
Heretical Hermit,70442,226
White Knight,66759,278
Rhodry,55355,213
NEVIO,54514,243
Alberikh,53986,294
Germanicus,46991,189
Fabrinir,46030,172
Mal,40481,250
Gradog,39835,158
Snowberry,36576,199
Hulk,24974,101
Tumitac,20962,79
Magda Ewa,20669,84
Marvi,20227,193
Sir James III Son of Hadur,19550,164
doc48,19326,184
Sir Cthulhu I,18370,83
Feli,18110,106
Mighty Forger,17664,94
Amginir,17392,67
Menelaos,17093,216
Racibor,15968,98
Brandemet,15359,118
Lady G,15326,116
Buririel,15062,362
Logan,14873,271
Diovani,13719,294
Xan,13282,154
Morg,12981,57
Kosti,12693,134
Maedrosin,12488,79
Nilaath,12104,78
Rudolf,12030,157
Lirinir,11862,55
MADMAN,10161,102
Eydaen,10009,181
Grozilkree,9985,291
Legolas,9745,50
Sir RES,9597,439
Diabolik,8764,79
Foolish Mortal,8388,50
Braveheart,8212,57
Immortal,6998,79
Berohef,6804,289
Painmoon,6686,57
Thorn,6685,30
Uhtred,6538,79
Monaoka,6500,56
Marcelo,6301,232
AlexLeroc,6185,91
Jaakarhu,6120,63
Granidred,6034,111
Bamsi,5706,83
Bjorn,5578,57
Mabrinad,5543,39
nothing,5364,67
Grikelv,5110,63
Rainblade,4966,112
Rudepravo Italiano,4900,64
Vlad the Impaler,4628,82
LUCKY BEAR,4408,82
SheHulk,4362,37
Dimes,4354,211
Funfiren,4325,96
MILI,4243,78
Dirond,3842,20
DAJMITU,3482,36
Thoth,3381,38
Kall,3114,45
Vugul,2972,40
MONTES P,2898,80
zipkinci,2883,64
TOKUGAWA NOBUNAGA,2511,126
Fosida,2444,23
Defur,2416,367
Kirimand,2363,107
DarkAngel,2332,142
Well Constantino,2315,25
Cain,1910,40
Raya,1538,39
Helena,1450,108
Marvilla,1331,123
Foxhunter,1218,10
mestesso,1167,60
Kit Carson,1092,13
Maveriel,1074,94
Hermit 500,1025,7
Darvenen,943,47
Niin,868,53
Lorfanor,855,32
Lardrien,818,25
Diovani 2,751,37
Lucky Girl,751,16
Immortal I,465,24
3CPo,295,20
EVA,68,23
Minerva,51,3
LB Jr,34,13
accomplishes,34,2
idaco,34,2
Lordis,6,3
MMM,0,1717
.,0,0
1,0,0
Accelerator,0,0
Aegrosad,0,0
Akinomuro,0,0
Alexander Greek,0,0
Archie,0,0
Arni,0,0
BH Jnr,0,0
Bad FutherMucker,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Braveheart JNR,0,0
Brightskin,0,0
Bubino71,0,0
Bunnyman,0,0
Catty,0,0
Cenaya,0,0
Cerim,0,0
Cesarz Saleka,0,0
Cesarzowa Cwieka,0,0
Conjudred,0,0
Cosmic Dancer,0,0
Cyril Figgis,0,0
D23,0,0
DON IRON MIKE TYSON,0,0
Dabb,0,0
Dacage,0,0
Dafur,0,0
Deep Inside,0,0
Digore,0,0
Doctor Krieger,0,0
Dr Bruce BANNER,0,0
Dragon Armor,0,0
Drugo,0,0
Dugul,0,0
EL CHAPO GUZMAN,0,0
Eyfedef,0,0
FERDAUS,0,0
Fagon,0,0
Fanlotilas,0,0
Fearlessbeard,0,0
Felharne,0,0
Finan,0,0
Finvenen,0,0
Fire Armor,0,0
Fisk,0,0
Genghis Khan,0,0
Golgotha,0,0
Graveleye,0,0
Gros jnr,0,0
Grosvenor,0,0
Haiiro,0,0
Heimdall,0,0
Hermit,0,0
Jeepster,0,0
Jill,0,0
KARMA,0,0
KASS,0,0
Kajko,0,0
Kallen,0,0
Karo,0,0
Karo 3,0,0
Karodor,0,0
Karodor2,0,0
Kerilir,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
LETS GO BRANDON,0,0
Ladacznica,0,0
Lady Hawke,0,0
Lanfir,0,0
Lanmoin,0,0
Legon,0,0
Lerinad,0,0
Lilor,0,0
Lirafin,0,0
Luciditee,0,0
MIYAMOTO MUSASHI,0,0
MMMm,0,0
MONA,0,0
MONTES,0,0
Maanan,0,0
Mador,0,0
Maelstrom,0,0
Majkel,0,0
Mal the Uncrowned,0,0
Manandis,0,0
Marco,0,0
MarcusTulliusCicero,0,0
Marvina,0,0
Masius,0,0
Mausida,0,0
Maximus Decimus,0,0
Mazura,0,0
Meddry,0,0
Mingo 2,0,0
Modnar,0,0
