PLAYER,COUNT,TIER,SCORE
MONTES,508,2,3393
Rudolf,435,1,12116
MMM,370,,2500
Logan,245,2,11719
Tricolor Carioca,173,2,9855
Marvi,151,1,11341
Xena,143,2,7995
Granidred,137,3,4314
Mr BaCk,136,1,6563
Brandemet,125,1,7927
Hulk,122,1,32130
Masius,122,3,2866
SJ III SoH,120,1,10885
Grozilkree,117,3,3074
Sire Menion,116,1,12165
Sir RES,115,2,5178
Vlad the Impaler,107,2,3467
Morg,103,1,17415
Muradin Bronzebeard,101,2,11862
Braveheart,101,1,11659
Germanicus,101,1,10652
D23,100,2,8444
DarkAngel,100,2,3323
Eydaen,98,3,1877
Marcelo,86,2,3021
Kirimand,83,3,1732
Pearl,78,2,4998
Foxhunter,76,1,3915
Feli,75,1,6213
MADMAN,73,3,2746
Rainblade,73,2,2300
NEVIO,72,2,5525
doc48,70,1,7269
Racibor,68,2,6527
Well Constantino,66,2,3532
Gradog,62,1,9220
T NOBUNAGA,61,3,1760
Diabolik,57,1,5876
Amginir,56,2,20795
RED GUARDIAN,52,3,8119
Tumitac,51,1,8736
Max Decimus,50,1,6710
Legolas,49,1,3853
RatkoM,48,1,9219
Marvilla,48,3,1226
idaco,47,1,2642
Saucy Joy,47,3,2085
Immortal,47,2,1099
Alberikh,46,2,5696
Fire Armor,46,2,3538
Bamsi,46,3,937
Tha Supreme,45,3,7267
Rhodry,45,1,7168
LETS GO BRANDON,45,3,1992
Mabrinad,44,1,3000
Mighty Forger,43,1,4612
Thoth,42,2,5314
Maedrosin,40,2,5305
Nilaath,39,1,4884
Mazura,39,3,931
Cain,39,3,778
Fosida,38,1,6519
Rain,37,1,3612
Uhtred,37,2,3564
Karodor,37,1,1375
Lady G,36,3,2918
Grosvenor,33,1,6103
Lirinir,33,1,6026
Conjudred,28,2,3578
Bjorn,28,2,3337
Rebellion,28,3,2708
Kall,28,3,669
Accelerator,25,2,5825
Rudepravo Italiano,24,2,2603
Xan,24,2,2013
Thorn,24,2,1630
Gros jnr,24,3,1003
Silverblade,24,3,191
DAJMITU,23,2,3710
MILI,23,3,1222
Legon,23,3,276
nervous,22,2,755
3CPo,22,3,736
Minerva,19,3,310
Digore,19,3,89
Mausida,18,3,868
Foolish Mortal,18,2,821
Kerilir,16,2,2108
Painmoon,15,3,1037
Bad FutherMucker,15,3,939
Dacage,15,3,255
Nobody special,15,3,196
Sir Cthulhu I,11,3,1934
Tygojind,11,3,360
zipkinci,6,3,156
Dr Bruce BANNER,5,3,143
Hermit,3,3,170
Quick,3,3,12
Manandis,2,3,90
Kokosz,0,3,0
Lady Hawke,0,3,0
Ognisty Smok,0,3,0
StarSailor,0,3,0
Tygoranr,0,3,0
Aegrosad,0,,0
Archie,0,,0
Arni,0,,0
Black Mamba,0,,0
Brann Bronzebeard,0,,0
Braveheart JNR,0,,0
Brightskin,0,,0
Catty,0,,0
Cenaya,0,,0
Cerim,0,,0
Cesarz Saleka,0,,0
Cesarzowa Cwieka,0,,0
Cosmic Dancer,0,,0
Cyril Figgis,0,,0
DON IRON MIKE TYSON,0,,0
Dafur,0,,0
Deep Inside,0,,0
Doctor Krieger,0,,0
Dragon Armor,0,,0
Drugo,0,,0
Dugul,0,,0
EL CHAPO GUZMAN,0,,0
FERDAUS,0,,0
Fagon,0,,0
Felharne,0,,0
Fisk,0,,0
Funfiren,0,,0
Genghis Khan,0,,0
Grikelv,0,,0
Haiiro,0,,0
Heimdall,0,,0
Heretical Hermit,0,,0
Immortal I,0,,0
Jeepster,0,,0
Jill,0,,0
KARMA,0,,0
KASS,0,,0
Kajko,0,,0
Karo 3,0,,0
Karodor2,0,,0
Kit Carson,0,,0
Kordobrek,0,,0
Kyperion Du Torbiney,0,,0
Lanfir,0,,0
Lanmoin,0,,0
Lerinad,0,,0
Lilor,0,,0
Lorfanor,0,,0
Luciditee,0,,0
MIYAMOTO MUSASHI,0,,0
MMMm,0,,0
Maanan,0,,0
Mador,0,,0
Maelstrom,0,,0
Mal the Uncrowned,0,,0
Marco,0,,0
MarcusTulliusCicero,0,,0
Meddry,0,,0
Mingo 2,0,,0
Modnar,0,,0
Monster Killer,0,,0
Morn,0,,0
NaChos,0,,0
Nevyn,0,,0
Norbee1984,0,,0
Nygus,0,,0
Pryntyl,0,,0
Puck,0,,0
Ray Gillette,0,,0
Rhodorix,0,,0
Sabar,0,,0
Sailv,0,,0
Sassy Gal,0,,0
Secret Keeper,0,,0
Sir Chthulhu I,0,,0
Smok,0,,0
Smokn,0,,0
Sterling Archer,0,,0
Tex Willer,0,,0
Thor,0,,0
Tonto,0,,0
Turbrimir,0,,0
Tygradi,0,,0
Viper I,0,,0
Xavier St Cloud,0,,0
Xenia,0,,0
ZaCk,0,,0
semoury,0,,0
