DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Germanicus,Bank,Magic Chest,250,MMM
2023-04-25,Kirimand,Arena,Gladiator's Chest,2,MMM
2023-04-25,Eydaen,Level 5 Crypt,Mayan Chest,1,MMM
2023-04-25,Eydaen,Level 5 Crypt,Stone Chest,1,MMM
2023-04-25,Xena,Level 5 Crypt,Forgotten Chest,1,MMM
2023-04-25,Xena,Level 10 Crypt,Mayan Chest,4,MMM
2023-04-25,Xena,Level 5 Crypt,Orc Chest,1,MMM
2023-04-25,MADMAN,Level 10 Crypt,Sand Chest,4,MMM
2023-04-25,MADMAN,Level 15 Crypt,Bone Chest,17,MMM
2023-04-25,MADMAN,Level 20 Crypt,Stone Chest,84,MMM
2023-04-25,MADMAN,Level 20 Crypt,Infernal Chest,84,MMM
2023-04-25,Xena,Level 15 epic Crypt,Harpy Chest,34,MMM
2023-04-25,Sailv,Level 15 epic Crypt,Scorpion Chest,34,MMM
2023-04-25,MADMAN,Level 10 Crypt,Mayan Chest,4,MMM
2023-04-25,MADMAN,Level 10 Crypt,Sand Chest,4,MMM
2023-04-25,Eydaen,Level 10 Crypt,Mayan Chest,4,MMM
2023-04-25,MADMAN,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-04-25,MADMAN,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-04-25,Heretical Hermit,Level 30 Citadel,Elven Citadel Chest,380,MMM
2023-04-25,MADMAN,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-04-25,MADMAN,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-04-25,Marcelo,Level 15 Crypt,Fire Chest,17,MMM
2023-04-25,Heretical Hermit,Level 30 Citadel,Elven Citadel Chest,380,MMM
2023-04-25,Eydaen,Level 15 Citadel,Elven Citadel Chest,17,MMM
2023-04-25,Marcelo,Level 15 Crypt,Gnome Workshop Chest,17,MMM
2023-04-25,Feli,Mercenary Exchange,Merchant's Chest,200,MMM
2023-04-25,MADMAN,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-04-25,MONTES,Level 20 epic Crypt,Barbarian Chest,168,MMM
