PLAYER,COUNT,TIER,SCORE,,
Masius,242,3,1932,,5812
Rebellion,240,2,5222,,
Thorn,203,2,16136,,
Xan,189,2,3881,,
Cesarz Saleka,183,1,39370,,
Uhtred,138,2,10330,,
Hulk,131,1,28152,,
Alberikh,130,2,10252,,
MMM,128,,2500,,
Sir RES,117,2,2288,,
Diabolik,113,1,8774,,
Brandemet,108,2,3385,,
Eydaen,104,2,1999,,
Mr BaCk,100,1,6939,,
ZaCk,99,1,2545,,
Marvi,96,1,6387,,
Rudolf,96,1,3316,,
Sailv,94,3,2243,,
Foolish Mortal,92,2,4400,,
Sir James III Son of Hadur,91,1,11742,,
Sire Menion,90,3,7440,,
Xena,89,3,4599,,
RatkoM,88,1,13191,,
Braveheart,88,1,4553,,
Rhodry,80,1,14313,,
Lirinir,80,1,10008,,
Feli,78,1,6179,,
Karodor,75,1,5264,,
Lady G,74,3,3550,,
Muradin Bronzebeard,70,2,3280,,
Thoth,68,2,5228,,
D23,68,2,2394,,
DarkAngel,66,2,1748,,
Mazura,62,3,1016,,
Grosvenor,60,1,7635,,
Marvilla,60,3,195,,
RED GUARDIAN,59,3,3005,,
Luciditee,55,1,5224,,
Rainblade,52,2,1210,,
Vlad the Impaler,52,2,1129,,
Immortal,50,1,1176,,
Fosida,47,2,3115,,
Tumitac,47,1,2332,,
KARMA,46,1,7599,,
Nobody special,46,3,721,,
Gradog,45,1,6325,,
Mal the Uncrowned,45,1,3068,,
Mabrinad,45,2,2942,,
Secret Keeper,45,3,1906,,
Dragon Armor,45,2,1610,,
Sir Chthulhu I,45,3,1564,,
Painmoon,45,2,1338,,
Fire Armor,45,2,1229,,
Genghis Khan,43,1,4546,,
Grozilkree,42,3,721,,
Mingo 2,40,3,1674,,
Saucy Joy,40,3,354,,
Lanfir,40,3,82,,
Maximus Decimus,38,1,4201,,
Maedrosin,38,2,2667,,
Heretical Hermit,37,1,9415,,
Kirimand,37,3,876,,
Quick,37,3,822,,
Pearl,36,2,1705,,
EL CHAPO GUZMAN,36,3,1085,,
Amginir,35,2,4015,,
Mighty Forger,35,1,3222,,
Silverblade,35,3,867,,
Viper I,33,2,873,,
Lerinad,32,3,1530,,
Kerilir,31,1,1040,,
Cyril Figgis,30,3,729,,
LETS GO BRANDON,30,3,145,,
Sassy Gal,28,3,181,,
TOKUGAWA NOBUNAGA,27,3,320,,
Legolas,25,1,2155,,
Black Mamba,25,1,2116,,
Dugul,25,3,484,,
Lorfanor,23,3,435,,
MIYAMOTO MUSASHI,23,3,222,,
Tex Willer,22,2,2037,,
Puck,21,3,90,,
Rain,19,1,982,,
StarSailor,16,3,906,,
DAJMITU,15,1,1764,,
Gros jnr,15,3,984,,
Bjorn,15,2,806,,
zipkinci,12,3,271,,
Ognisty Smok,12,3,42,,
Bad FutherMucker,11,3,456,,
MILI,9,2,515,,
Felharne,9,3,290,,
Foxhunter,8,1,1139,,
Deep Inside,8,2,552,,
3CPo,6,3,214,,
Kokosz,4,3,29,,
Norbee1984,3,3,3,,
Nevyn,1,3,84,,
Aegrosad,1,3,1,,
Arni,0,,0,,
Brightskin,0,,0,,
Catty,0,,0,,
Cenaya,0,,0,,
Cosmic Dancer,0,,0,,
Digore,0,,0,,
FERDAUS,0,,0,,
Fagon,0,,0,,
Haiiro,0,,0,,
Jeepster,0,,0,,
Jill,0,,0,,
Kajko,0,,0,,
Karo 3,0,,0,,
Kit Carson,0,,0,,
Kordobrek,0,,0,,
Kyperion Du Torbiney,0,,0,,
Legon,0,,0,,
MMMm,0,,0,,
Maanan,0,,0,,
Mador,0,,0,,
Maelstrom,0,,0,,
Manandis,0,,0,,
Marco,0,,0,,
MarcusTulliusCicero,0,,0,,
Meddry,0,,0,,
Ray Gillette,0,,0,,
Sabar,0,,0,,
Smokn,0,,0,,
Tonto,0,,0,,
Turbrimir,0,,0,,
Tygradi,0,,0,,
Xavier St Cloud,0,,0,,
Xenia,0,,0,,
semoury,0,,0,,
