PLAYER,COUNT,TIER,SCORE,,
Karodor,195,1,20098,,
Mr BaCk,138,1,17305,,
Gradog,114,1,15003,,
Rudolf,101,1,5924,,
Fabrinir,93,1,10741,,
Germanicus,87,1,18416,,
doc48,79,1,5610,,
SJ III SoH,75,1,12019,,
Lirinir,69,1,11627,,
Braveheart,64,1,11383,,
NEVIO,59,1,10311,,
Heretical Hermit,58,1,11350,,
Immortal,52,1,2307,,
Rhodry,49,1,10818,,
Tumitac,47,1,6510,,
Feli,44,1,7847,,
Nilaath,42,1,3263,,
Legolas,37,1,3986,,
Diabolik,37,1,1545,,
Morg,32,1,5419,,
Mabrinad,31,1,2517,,
Mighty Forger,27,1,7334,,
KARMA,24,1,8645,,
RatkoM,22,1,1753,,
Hulk,20,1,5648,,
idaco,18,1,690,,
Fosida,17,1,1174,,
Rain,13,1,1061,,
Amginir,12,1,2777,,
Marvi,2,1,550,,
Logan,2,1,18,,
Menelaos,162,2,6141,,
Sir RES,138,2,2202,,
Vlad the Impaler,114,2,4008,,
Eydaen,101,2,2669,,
Racibor,77,2,5853,,
Rainblade,68,2,1934,,
Bamsi,62,2,3472,,
Marcelo,58,2,974,,
Thoth,49,2,5568,,
DarkAngel,49,2,1983,,
Alberikh,48,2,14114,,
Well Constantino,47,2,2975,,
D23,41,2,4414,,
Uhtred,38,2,4072,,
Dabb,37,2,2614,,
Xan,33,2,640,,
Painmoon,29,2,2993,,
Maedrosin,29,2,2960,,
Kerilir,28,2,2286,,
Magda Ewa,26,2,2423,,
Foxhunter,26,2,2042,,
Tha Supreme,23,2,3269,,
Jaakarhu,23,2,1656,,
Rudepravo Itali,23,2,1239,,
Thorn,20,2,1664,,
Bjorn,18,2,1217,,
MONTES,15,2,1536,,
Foolish Mortal,14,2,1285,,
MILI,12,2,412,,
Sir Cthulhu I,11,2,2605,,4177
Golgotha,7,2,1925,,
DAJMITU,0,2,0,,
Brandemet,126,3,10369,,
T NOBUNAGA,107,3,1572,,
Granidred,89,3,3132,,
Monaoka,77,3,2518,,
