DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2023-11-02,doc48,Bank,Wooden Chest,10,MMM
2023-11-02,doc48,Bank,Wooden Chest,10,MMM
2023-11-02,doc48,Bank,Wooden Chest,10,MMM
2023-11-02,doc48,Bank,Bronze Chest,20,MMM
2023-11-02,doc48,Bank,Bronze Chest,20,MMM
2023-11-02,doc48,Bank,Bronze Chest,20,MMM
2023-11-02,doc48,Bank,Silver Chest,30,MMM
2023-11-02,doc48,Bank,Silver Chest,30,MMM
2023-11-02,doc48,Bank,Silver Chest,30,MMM
2023-11-02,Heretical Hermit,Level 30 Citadel,Elven Citadel Chest,380,MMM
2023-11-02,Heretical Hermit,Level 30 Citadel,Elven Citadel Chest,380,MMM
2023-11-02,DarkAngel,Level 20 Crypt,Stone Chest,84,MMM
2023-11-02,Karodor,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2023-11-02,Braveheart,Level 5 Crypt,Forgotten Chest,1,MMM
2023-11-02,Braveheart,Level 5 Crypt,Stone Chest,1,MMM
2023-11-02,Braveheart,Level 5 Crypt,Stone Chest,1,MMM
2023-11-02,Braveheart,Level 10 Crypt,Orc Chest,4,MMM
2023-11-02,Eydaen,Level 5 Crypt,Orc Chest,1,MMM
2023-11-02,Eydaen,Level 25 Crypt,Orc Chest,275,MMM
2023-11-02,Kirimand,Level 15 Crypt,Orc Chest,17,MMM
2023-11-02,Germanicus,Level 20 Citadel,Elven Citadel Chest,84,MMM
2023-11-02,Eydaen,Level 10 Crypt,Sand Chest,4,MMM
2023-11-02,Sir James III Son of Hadur,Level 20 Crypt,Gnome Workshop Chest,84,MMM
2023-11-02,Sir James III Son of Hadur,Level 10 Crypt,Orc Chest,4,MMM
2023-11-02,Eydaen,Level 15 epic Crypt,Abandoned Chest,34,MMM
2023-11-02,Sir James III Son of Hadur,Level 25 Crypt,Cobra Chest,275,MMM
2023-11-02,Eydaen,Level 20 Citadel,Elven Citadel Chest,84,MMM
2023-11-02,Eydaen,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-11-02,Morg,Level 20 Crypt,Stone Chest,84,MMM
2023-11-02,Monaoka,Level 20 Crypt,Cobra Chest,84,MMM
2023-11-02,MADMAN,Level 20 Crypt,Sand Chest,84,MMM
2023-11-02,Morg,Level 5 Crypt,Orc Chest,1,MMM
2023-11-02,Monaoka,Level 20 epic Crypt,Minotaur Chest,168,MMM
2023-11-02,Morg,Level 5 Crypt,Barbarian Chest,1,MMM
2023-11-02,MADMAN,Level 20 Crypt,Infernal Chest,84,MMM
2023-11-02,MADMAN,Level 20 Crypt,Forgotten Chest,84,MMM
2023-11-02,MADMAN,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2023-11-02,Monaoka,Level 20 Crypt,Forgotten Chest,84,MMM
