PLAYER,COUNT,TIER,SCORE,,
SJ III SoH,117,1,14872,,
Mr BaCk,109,1,10679,,
Fabrinir,80,1,11814,,3542
Karodor,73,1,4579,,
KARMA,68,1,12708,,
Rudolf,64,1,3248,,
Germanicus,61,1,11087,,
RatkoM,60,1,13117,,
Hulk,60,1,10131,,
doc48,60,1,3837,,
Braveheart,58,1,4260,,
Rhodry,54,1,6679,,
Gradog,49,1,11025,,
Nilaath,45,1,4112,,
Heretical Hermit,44,1,11000,,
Diabolik,41,1,2206,,
Racibor,39,1,2787,,
Immortal,37,1,1026,,
Tumitac,34,1,3391,,
Feli,32,1,5285,,
NEVIO,31,1,3910,,
Rain,29,1,1654,,
Legolas,28,1,2792,,
Lirinir,22,1,4132,,
idaco,21,1,618,,
Fosida,19,1,1602,,
Mighty Forger,17,1,3634,,
Marvi,17,1,923,,
Foolish Mortal,16,1,1717,,
Mabrinad,16,1,1224,,
Amginir,16,1,1143,,
Morg,10,1,2711,,
Brandemet,0,1,0,,
Logan,0,1,0,,
Menelaos,96,2,3050,,
Bamsi,92,2,2504,,
Sir RES,78,2,2033,,
MONTES,72,2,683,,
Marcelo,67,2,1482,,
Eydaen,59,2,1700,,
Vlad the Impaler,56,2,1653,,
Rainblade,54,2,1099,,
DarkAngel,49,2,2162,,
Xan,47,2,1951,,
Kerilir,36,2,2675,,
Well Constantino,35,2,1989,,
Foxhunter,34,2,2375,,
Tha Supreme,32,2,1850,,
Bjorn,31,2,1259,,
MILI,27,2,1156,,
Dabb,26,2,1080,,
D23,25,2,3491,,
Painmoon,25,2,3382,,
Uhtred,25,2,2080,,
Magda Ewa,25,2,1637,,
Thoth,24,2,2226,,
Jaakarhu,23,2,1703,,
Rudepravo Italiano,21,2,871,,
Golgotha,20,2,1807,,
Maedrosin,19,2,1714,,
DAJMITU,11,2,2142,,
Sir Cthulhu I,9,2,2810,,
Thorn,9,2,702,,
Alberikh,7,2,1479,,
Snowberry,0,2,0,,
Granidred,113,3,1815,,
Monaoka,79,3,1891,,
