PLAYER,COUNT,TIER,SCORE,,
Hulk,182,1,63839,,7256
Cesarz Saleka,651,1,42836,,
Rhodry,106,1,23837,,
Diabolik,186,1,22154,,
ZaCk,452,1,20501,,
Karodor,118,1,11731,,
Lirinir,87,1,10077,,
DAJMITU,213,1,9908,,
Heretical Hermit,36,1,9250,,
Marvi,121,1,8425,,
Feli,85,1,7674,,
Sir James III Son of Hadur,42,1,6783,,
Gradog,46,1,5994,,
Tumitac,59,1,5992,,
KARMA,41,1,5291,,
Braveheart,92,1,5143,,
Brandemet,164,1,5063,,
Rudolf,118,1,4823,,
Maximus Decimus,29,1,4145,,
Mr BaCk,39,1,4038,,
Mabrinad,55,1,3847,,
Mighty Forger,30,1,3549,,
Grosvenor,29,1,3472,,
RatkoM,18,1,3384,,
Bjorn,78,1,2469,,
Legolas,58,1,2438,,
Deep Inside,25,1,2307,,
Luciditee,25,1,2268,,
Rain,33,1,1965,,
Black Mamba,19,1,1188,,
Kerilir,39,1,1102,,
Mal the Uncrowned,12,1,1058,,
Foxhunter,17,1,611,,
Genghis Khan,26,1,508,,
Immortal,27,1,494,,
Arni,140,2,22630,,
Thorn,109,2,10482,,
Alberikh,107,2,8898,,
Xan,263,2,4866,,
Fosida,82,2,4813,,
Thoth,66,2,4597,,
Xena,105,2,4440,,
D23,150,2,4361,,
Muradin Bronzebeard,91,2,4312,,
Foolish Mortal,98,2,3720,,
Uhtred,83,2,3204,,
Amginir,49,2,3177,,
Maedrosin,34,2,2803,,
Vlad the Impaler,80,2,2470,,
Sir RES,137,2,2410,,
DarkAngel,72,2,2272,,
Rebellion,62,2,2211,,
Eydaen,96,2,2179,,
Jill,37,2,2142,,
Marco,46,2,2139,,
MILI,51,2,2005,,
Pearl,41,2,1912,,
Turbrimir,113,2,1659,,
Fire Armor,45,2,1244,,
Rainblade,45,2,1114,,
M MUSASHI,32,2,881,,
Painmoon,27,2,807,,
Viper I,31,2,771,,
Grozilkree,51,2,689,,
Dragon Armor,31,2,511,,
RED GUARDIAN,65,3,3277,,
Silverblade,111,3,2278,,
Lady G,41,3,2006,,
Sailv,65,3,1430,,
Mazura,109,3,1323,,
Lorfanor,33,3,1230,,
Sire Menion,31,3,1208,,
Sir Chthulhu I,27,3,1175,,
Gros jnr,27,3,966,,
Kirimand,70,3,963,,
Mingo 2,34,3,818,,
T NOBUNAGA,26,3,735,,
Manandis,73,3,731,,
zipkinci,36,3,612,,
Dugul,28,3,601,,
EL CHAPO,34,3,578,,
Saucy Joy,36,3,413,,
Quick,19,3,408,,
Sabar,33,3,405,,
Sassy Gal,32,3,368,,
Bad FutherMucker,17,3,353,,
Nobody special,44,3,334,,
Lerinad,5,3,285,,
StarSailor,4,3,173,,
Cyril Figgis,10,3,170,,
Kokosz,6,3,156,,
Jeepster,6,3,148,,
Lanfir,59,3,62,,
Digore,20,3,56,,
Cosmic Dancer,2,3,34,,
Aegrosad,5,3,5,,
3CPo,1,3,4,,
Norbee1984,2,3,2,,
MMM,413,,0,,
Bandiswyn,0,,0,,
Brightskin,0,,0,,
Catty,0,,0,,
Cenaya,0,,0,,
Elladan,0,,0,,
Eyrodor,0,,0,,
Fagon,0,,0,,
Felharne,0,,0,,
FERDAUS,0,,0,,
Haiiro,0,,0,,
Kajko,0,,0,,
Karo 3,0,,0,,
Kit Carson,0,,0,,
Kordobrek,0,,0,,
Kyperion Du Torbiney,0,,0,,
Legon,0,,0,,
Maanan,0,,0,,
Mador,0,,0,,
Maelstrom,0,,0,,
MarcusTulliusCicero,0,,0,,
Meddry,0,,0,,
Ollozin,0,,0,,
Pryntyl,0,,0,,
Puck,0,,0,,
Queen Boudica,0,,0,,
Ray Gillette,0,,0,,
semoury,0,,0,,
Smokn,0,,0,,
Tex Willer,0,,0,,
Tonto,0,,0,,
Tygradi,0,,0,,
Xavier St Cloud,0,,0,,
Xenia,0,,0,,
