PLAYER,TOTAL,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25
Heretical Hermit,650,0,0,0,1,153,0,496
Rhodry,333,7,10,2,8,0,44,262
Granidred,245,70,112,51,0,0,12,0
Diovani,222,174,31,2,0,0,15,0
Uhtred,200,0,0,87,1,0,112,0
Snowberry,196,157,25,5,0,0,9,0
Mr BaCk,191,2,116,21,10,0,29,13
Brandemet,160,3,4,7,6,1,16,123
NEVIO,116,0,12,3,0,0,97,4
Gradog,96,0,6,3,87,0,0,0
Mal,83,1,2,19,17,44,0,0
Karodor,76,0,0,0,36,7,0,33
Fabrinir,61,6,0,15,16,0,4,20
Thoth,59,0,43,13,0,0,3,0
Masius,54,2,22,2,0,0,28,0
Xan,51,11,25,5,1,0,9,0
Menelaos,48,9,26,13,0,0,0,0
Sir RES,48,15,27,6,0,0,0,0
LUCKY BEAR,47,0,47,0,0,0,0,0
Sir James III Son of Hadur,45,0,5,0,14,26,0,0
Morg,44,0,0,35,1,4,4,0
Marvi,43,14,12,11,0,0,6,0
Foolish Mortal,37,7,4,8,10,0,6,2
Rudolf,37,5,13,7,0,0,9,3
Mighty Forger,33,0,0,2,31,0,0,0
Kosti,32,0,0,24,0,0,8,0
Funfiren,30,11,19,0,0,0,0,0
Legolas,30,0,17,10,0,0,3,0
Maveriel,30,30,0,0,0,0,0,0
Racibor,30,0,9,15,4,0,2,0
Mabrinad,27,0,3,12,1,0,9,2
MADMAN,26,0,13,12,0,0,1,0
Alberikh,25,1,0,0,24,0,0,0
Lady G,25,9,13,3,0,0,0,0
Eydaen,23,15,8,0,0,0,0,0
Nilaath,23,1,7,14,1,0,0,0
Feli,22,0,0,7,7,0,8,0
MONTES P,22,19,1,0,2,0,0,0
Germanicus,21,0,0,0,17,0,0,4
Fosida,20,5,9,0,0,0,6,0
Grikelv,19,0,4,11,0,0,4,0
Maximus Decimus,19,0,19,0,0,0,0,0
Rainblade,19,4,15,0,0,0,0,0
Diabolik,18,5,11,2,0,0,0,0
Foxhunter,17,2,2,3,5,0,0,5
Golgotha,16,0,2,14,0,0,0,0
Sir Cthulhu I,15,5,1,2,4,1,1,1
TOKUGAWA NOBUNAGA,14,3,11,0,0,0,0,0
Vlad the Impaler,14,2,3,7,2,0,0,0
Braveheart,13,1,0,8,2,0,2,0
DAJMITU,12,0,1,0,3,0,0,8
Grozilkree,11,5,2,2,1,0,1,0
Marcelo,10,2,6,0,0,0,2,0
doc48,10,2,2,5,1,0,0,0
Monaoka,9,0,2,7,0,0,0,0
Lorfanor,8,0,5,3,0,0,0,0
Braveheart JNR,7,5,2,0,0,0,0,0
Kirimand,7,0,7,0,0,0,0,0
Lirinir,7,0,0,2,4,0,1,0
Portia,7,3,4,0,0,0,0,0
Maedrosin,6,1,0,4,1,0,0,0
Jaakarhu,5,0,2,3,0,0,0,0
Magda Ewa,5,0,0,3,0,0,2,0
Tha Supreme,5,0,0,1,4,0,0,0
Well Constantino,4,0,0,4,0,0,0,0
Bamsi,3,1,1,1,0,0,0,0
Amginir,2,0,1,1,0,0,0,0
Felharne,1,1,0,0,0,0,0,0
Kerilir,1,0,1,0,0,0,0,0
Logan,1,0,0,1,0,0,0,0
MILI,1,0,0,1,0,0,0,0
Pearl,1,1,0,0,0,0,0,0
Rhodorix,1,1,0,0,0,0,0,0
Rudepravo Italiano,1,1,0,0,0,0,0,0
Tumitac,1,1,0,0,0,0,0,0
Turbrimir,1,1,0,0,0,0,0,0
3CPo,0,0,0,0,0,0,0,0
Accelerator,0,0,0,0,0,0,0,0
Aegrosad,0,0,0,0,0,0,0,0
Akinomuro,0,0,0,0,0,0,0,0
AlexLeroc,0,0,0,0,0,0,0,0
Alexander Greek,0,0,0,0,0,0,0,0
Archie,0,0,0,0,0,0,0,0
Arni,0,0,0,0,0,0,0,0
Bad FutherMucker,0,0,0,0,0,0,0,0
Bjorn,0,0,0,0,0,0,0,0
Black Mamba,0,0,0,0,0,0,0,0
Brann Bronzebeard,0,0,0,0,0,0,0,0
Brightskin,0,0,0,0,0,0,0,0
Bubino71,0,0,0,0,0,0,0,0
Bunnyman,0,0,0,0,0,0,0,0
Cain,0,0,0,0,0,0,0,0
Catty,0,0,0,0,0,0,0,0
Cenaya,0,0,0,0,0,0,0,0
Cerim,0,0,0,0,0,0,0,0
Cesarz Saleka,0,0,0,0,0,0,0,0
Cesarzowa Cwieka,0,0,0,0,0,0,0,0
Conjudred,0,0,0,0,0,0,0,0
Cosmic Dancer,0,0,0,0,0,0,0,0
Cyril Figgis,0,0,0,0,0,0,0,0
D23,0,0,0,0,0,0,0,0
DON IRON MIKE TYSON,0,0,0,0,0,0,0,0
Dabb,0,0,0,0,0,0,0,0
Dacage,0,0,0,0,0,0,0,0
Dafur,0,0,0,0,0,0,0,0
DarkAngel,0,0,0,0,0,0,0,0
Darvenen,0,0,0,0,0,0,0,0
Deep Inside,0,0,0,0,0,0,0,0
Defur,0,0,0,0,0,0,0,0
Digore,0,0,0,0,0,0,0,0
Doctor Krieger,0,0,0,0,0,0,0,0
Dr Bruce BANNER,0,0,0,0,0,0,0,0
Dragon Armor,0,0,0,0,0,0,0,0
Drugo,0,0,0,0,0,0,0,0
Dugul,0,0,0,0,0,0,0,0
EL CHAPO GUZMAN,0,0,0,0,0,0,0,0
Eyfedef,0,0,0,0,0,0,0,0
FERDAUS,0,0,0,0,0,0,0,0
Fagon,0,0,0,0,0,0,0,0
Fearlessbeard,0,0,0,0,0,0,0,0
Finan,0,0,0,0,0,0,0,0
Finvenen,0,0,0,0,0,0,0,0
Fire Armor,0,0,0,0,0,0,0,0
Fisk,0,0,0,0,0,0,0,0
Genghis Khan,0,0,0,0,0,0,0,0
Gros jnr,0,0,0,0,0,0,0,0
Grosvenor,0,0,0,0,0,0,0,0
Haiiro,0,0,0,0,0,0,0,0
Heimdall,0,0,0,0,0,0,0,0
Hermit,0,0,0,0,0,0,0,0
Hulk,0,0,0,0,0,0,0,0
Immortal,0,0,0,0,0,0,0,0
Immortal I,0,0,0,0,0,0,0,0
Jeepster,0,0,0,0,0,0,0,0
Jill,0,0,0,0,0,0,0,0
KARMA,0,0,0,0,0,0,0,0
KASS,0,0,0,0,0,0,0,0
Kajko,0,0,0,0,0,0,0,0
Kall,0,0,0,0,0,0,0,0
Karo,0,0,0,0,0,0,0,0
Karo 3,0,0,0,0,0,0,0,0
Karodor2,0,0,0,0,0,0,0,0
Kit Carson,0,0,0,0,0,0,0,0
Kokosz,0,0,0,0,0,0,0,0
Kordobrek,0,0,0,0,0,0,0,0
Kyperion Du Torbiney,0,0,0,0,0,0,0,0
LETS GO BRANDON,0,0,0,0,0,0,0,0
Ladacznica,0,0,0,0,0,0,0,0
Lady Hawke,0,0,0,0,0,0,0,0
Lanfir,0,0,0,0,0,0,0,0
Lanmoin,0,0,0,0,0,0,0,0
Legon,0,0,0,0,0,0,0,0
Lerinad,0,0,0,0,0,0,0,0
Lilor,0,0,0,0,0,0,0,0
Lirafin,0,0,0,0,0,0,0,0
Lordis,0,0,0,0,0,0,0,0
Luciditee,0,0,0,0,0,0,0,0
MIYAMOTO MUSASHI,0,0,0,0,0,0,0,0
MMM,0,0,0,0,0,0,0,0
MMMm,0,0,0,0,0,0,0,0
MONA,0,0,0,0,0,0,0,0
MONTES,0,0,0,0,0,0,0,0
Maanan,0,0,0,0,0,0,0,0
Mador,0,0,0,0,0,0,0,0
Maelstrom,0,0,0,0,0,0,0,0
Mal the Uncrowned,0,0,0,0,0,0,0,0
Manandis,0,0,0,0,0,0,0,0
Marco,0,0,0,0,0,0,0,0
MarcusTulliusCicero,0,0,0,0,0,0,0,0
Marvilla,0,0,0,0,0,0,0,0
Marvina,0,0,0,0,0,0,0,0
