DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2023-11-23,NEVIO,Bank,Precious Chest,100,MMM
2023-11-23,NEVIO,Bank,Precious Chest,100,MMM
2023-11-23,NEVIO,Bank,Precious Chest,100,MMM
2023-11-23,Lirinir,Bank,Golden Chest,50,MMM
2023-11-23,Lirinir,Bank,Golden Chest,50,MMM
2023-11-23,Lirinir,Bank,Golden Chest,50,MMM
2023-11-23,Lirinir,Bank,Precious Chest,100,MMM
2023-11-23,Lirinir,Bank,Precious Chest,100,MMM
2023-11-23,Lirinir,Bank,Precious Chest,100,MMM
2023-11-23,Alberikh,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Alberikh,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Alberikh,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Alberikh,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Alberikh,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Brandemet,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Brandemet,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Brandemet,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Brandemet,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Brandemet,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Rainblade,Level 20 Crypt,Orc Chest,84,MMM
2023-11-23,Braveheart,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Braveheart,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Braveheart,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Braveheart,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Rainblade,Level 15 Crypt,Orc Chest,17,MMM
2023-11-23,Grikelv,Level 20 Crypt,Infernal Chest,84,MMM
2023-11-23,Rainblade,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2023-11-23,Rainblade,Level 15 Crypt,Fire Chest,17,MMM
2023-11-23,Rainblade,Level 15 epic Crypt,Chest of the Cursed,34,MMM
2023-11-23,Braveheart,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Kirimand,Level 15 Crypt,Sand Chest,17,MMM
2023-11-23,Tumitac,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Tumitac,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Tumitac,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Tumitac,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Tumitac,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Heretical Hermit,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2023-11-23,Heretical Hermit,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2023-11-23,Fabrinir,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Fabrinir,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Fabrinir,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Fabrinir,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Fabrinir,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Alberikh,Level 25 epic Crypt,Scarab Chest,550,MMM
2023-11-23,Heretical Hermit,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2023-11-23,Thorn,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Thorn,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Thorn,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Thorn,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Thorn,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Alberikh,Level 25 epic Crypt,Ancient Warrior's Chest,550,MMM
2023-11-23,Kirimand,Level 15 Crypt,Orc Chest,17,MMM
2023-11-23,Karodor,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Karodor,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Karodor,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Karodor,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Karodor,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Lady G,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Lady G,Jormungandr Shop,Jormungandr's Chest,200,MMM
2023-11-23,Lady G,Jormungandr Shop,Jormungandr's Chest,200,MMM
