TIER,PLAYER,COUNT,SCORE,CITS,,
1,Heretical Hermit,1142,310635,1076,,
1,Rhodry,249,41356,178,,10994
1,Marvi,510,23642,174,,3430
1,NEVIO,256,37401,155,,
1,Amginir,214,21209,142,,
1,Fosida,221,11645,113,,
1,Brandemet,338,28469,95,,
1,Karodor,299,36797,79,,
1,Mr BaCk,168,19470,66,,
1,Fabrinir,131,12557,65,,
1,Feli,126,19335,65,,
1,Mabrinad,111,10821,56,,
1,Gradog,164,27997,52,,
1,Morg,70,15543,47,,
1,Sir James III Son of Hadur,217,31993,39,,
1,Braveheart,163,23886,37,,
1,Germanicus,212,43791,36,,
1,Thoth,74,4343,33,,
1,Legolas,83,7699,32,,
1,Rudolf,99,8478,25,,
1,Racibor,82,8958,23,,
1,Diabolik,68,3881,21,,
1,doc48,108,10012,17,,
1,Lirinir,95,23610,13,,
1,Immortal,56,6141,11,,
1,Mighty Forger,44,9532,6,,
1,Maximus Decimus,90,15085,4,,
1,Nilaath,51,6673,3,,
1,Tumitac,48,6848,0,,
1,Hulk,29,9472,0,,
1,idaco,8,311,0,,
1,Logan,2,21,0,,
2,Snowberry,192,5377,142,,
2,Menelaos,162,7060,38,,
2,Rainblade,126,4060,35,,
2,Uhtred,66,6315,30,,
2,Vlad the Impaler,140,10130,23,,
2,Foxhunter,68,7761,18,,
2,Sir RES,251,8596,17,,
2,Xan,62,1835,14,,
2,Thorn,58,7109,14,,
2,Golgotha,76,8604,13,,
2,Jaakarhu,56,5482,13,,
2,Magda Ewa,66,6501,12,,
2,Bamsi,91,2267,10,,
2,Foolish Mortal,27,2986,10,,
2,Alberikh,74,21976,9,,
2,MILI,58,1729,7,,
2,Maedrosin,44,5978,6,,
2,Rudepravo Italiano,31,1774,5,,
2,MONTES,10,236,5,,
2,Bjorn,91,11796,2,,
2,Turbrimir,104,1358,1,,
2,DarkAngel,29,3057,1,,
2,Eydaen,178,4423,0,,
2,Kerilir,85,8990,0,,
2,Marcelo,63,1381,0,,
2,Sir Cthulhu I,46,8207,0,,
2,DAJMITU,35,2990,0,,
2,Painmoon,34,4525,0,,
2,Pearl,29,2646,0,,
2,Well Constantino,28,2126,0,,
2,Tha Supreme,22,3253,0,,
2,Kosti,21,1226,0,,
3,Diovani,346,6988,131,,
3,Granidred,150,4509,43,,
3,Defur,84,1239,35,,
3,Lady G,92,3990,27,,
3,Grozilkree,178,6119,25,,
3,Grikelv,78,4125,13,,
3,Funfiren,65,2677,11,,
3,TOKUGAWA NOBUNAGA,100,2017,10,,
3,Silverblade,63,707,10,,
3,Mausida,106,3165,9,,
3,Monaoka,88,2405,6,,
3,MADMAN,86,7331,5,,
3,Kirimand,135,3107,4,,
3,Vatharia,67,2148,3,,
3,Lorfanor,42,508,3,,
3,Akinomuro,38,1571,3,,
3,Braveheart JNR,18,279,3,,
3,Smok,13,248,1,,
3,Darvenen,87,1976,0,,
3,Rhodorix,54,4825,0,,
3,zipkinci,50,1161,0,,
3,AlexLeroc,45,1805,0,,
3,Ollin,13,13,0,,
3,The Gladiator,11,148,0,,
3,RED GUARDIAN,6,337,0,,
3,Kit Carson,4,68,0,,
3,MONA,3,12,0,,
3,Finvenen,3,3,0,,
3,Morardin,3,3,0,,
3,3CPo,2,8,0,,
,Accelerator,0,0,0,,
,Aegrosad,0,0,0,,
,Alexander Greek,0,0,0,,
,Archie,0,0,0,,
,Arni,0,0,0,,
,Bad FutherMucker,0,0,0,,
,Black Mamba,0,0,0,,
,Brann Bronzebeard,0,0,0,,
,Brightskin,0,0,0,,
,Bubino71,0,0,0,,
,Bunnyman,0,0,0,,
,Cain,0,0,0,,
,Catty,0,0,0,,
,Cenaya,0,0,0,,
,Cerim,0,0,0,,
,Cesarz Saleka,0,0,0,,
,Cesarzowa Cwieka,0,0,0,,
,Conjudred,0,0,0,,
,Cosmic Dancer,0,0,0,,
,Cyril Figgis,0,0,0,,
,D23,0,0,0,,
,DON IRON MIKE TYSON,0,0,0,,
,Dabb,0,0,0,,
,Dacage,0,0,0,,
,Dafur,0,0,0,,
,Deep Inside,0,0,0,,
,Digore,0,0,0,,
,Doctor Krieger,0,0,0,,
,Dr Bruce BANNER,0,0,0,,
,Dragon Armor,0,0,0,,
,Drugo,0,0,0,,
,Dugul,0,0,0,,
,EL CHAPO GUZMAN,0,0,0,,
,Eyfedef,0,0,0,,
,FERDAUS,0,0,0,,
,Fagon,0,0,0,,
,Fearlessbeard,0,0,0,,
,Felharne,0,0,0,,
,Finan,0,0,0,,
,Fire Armor,0,0,0,,
,Fisk,0,0,0,,
,Genghis Khan,0,0,0,,
,Gros jnr,0,0,0,,
,Grosvenor,0,0,0,,
,Haiiro,0,0,0,,
,Heimdall,0,0,0,,
,Hermit,0,0,0,,
,Immortal I,0,0,0,,
,Jeepster,0,0,0,,
,Jill,0,0,0,,
,KARMA,0,0,0,,
,KASS,0,0,0,,
,Kajko,0,0,0,,
,Kall,0,0,0,,
,Karo 3,0,0,0,,
,Karodor2,0,0,0,,
,Kokosz,0,0,0,,
,Kordobrek,0,0,0,,
,Kyperion Du Torbiney,0,0,0,,
,LETS GO BRANDON,0,0,0,,
,Ladacznica,0,0,0,,
,Lady Hawke,0,0,0,,
,Lanfir,0,0,0,,
,Lanmoin,0,0,0,,
,Legon,0,0,0,,
,Lerinad,0,0,0,,
,Lilor,0,0,0,,
,Lirafin,0,0,0,,
,Lordis,0,0,0,,
,Luciditee,0,0,0,,
,MIYAMOTO MUSASHI,0,0,0,,
,MMMm,0,0,0,,
,Maanan,0,0,0,,
,Mador,0,0,0,,
,Maelstrom,0,0,0,,
,Mal the Uncrowned,0,0,0,,
,Manandis,0,0,0,,
,Marco,0,0,0,,
,MarcusTulliusCicero,0,0,0,,
,Marvilla,0,0,0,,
,Masius,0,0,0,,
,Mazura,0,0,0,,
,Meddry,0,0,0,,
,Minerva,0,0,0,,
,Mingo 2,0,0,0,,
,Modnar,0,0,0,,
,Moginn,0,0,0,,
,Mogra,0,0,0,,
,Monster Killer,0,0,0,,
,Morn,0,0,0,,
,Muradin Bronzebeard,0,0,0,,
,NaChos,0,0,0,,
,Nevyn,0,0,0,,
,Nobody special,0,0,0,,
,Norbee1984,0,0,0,,
,Nygus,0,0,0,,
,Ognisty Smok,0,0,0,,
,Osferth,0,0,0,,
,Priligy,0,0,0,,
,Pryntyl,0,0,0,,
,Puck,0,0,0,,
,Quick,0,0,0,,
,Rain,0,0,0,,
,RatkoM,0,0,0,,
,Ray Gillette,0,0,0,,
,Raya,0,0,0,,
,Rebellion,0,0,0,,
,RedDragon,0,0,0,,
,Rori,0,0,0,,
,Sabar,0,0,0,,
,Sailv,0,0,0,,
,Sassy Gal,0,0,0,,
,Saucy Joy,0,0,0,,
,Secret Keeper,0,0,0,,
,Sihtric,0,0,0,,
,Sir Chthulhu I,0,0,0,,
,Sire Menion,0,0,0,,
,Smokn,0,0,0,,
,StarSailor,0,0,0,,
,Steapa,0,0,0,,
,Sterling Archer,0,0,0,,
,Tex Willer,0,0,0,,
,Thor,0,0,0,,
,Tolnozin,0,0,0,,
,Tonto,0,0,0,,
,Tricolor Carioca,0,0,0,,
,Tygojind,0,0,0,,
,Tygoran,0,0,0,,
,Tygradi,0,0,0,,
,Unicorn X,0,0,0,,
,Viper I,0,0,0,,
,Xavier St Cloud,0,0,0,,
,Xena,0,0,0,,
,Xenia,0,0,0,,
,ZaCk,0,0,0,,
,aganaway,0,0,0,,
,desperados,0,0,0,,
,mestesso,0,0,0,,
,nallekarhu,0,0,0,,
,nervous,0,0,0,,
,semoury,0,0,0,,
,MMM,1013,0,,,
