DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-01-07,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-07,NEVIO,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-07,Fabrinir,Level 20 Crypt,Elegant Chest,84,MMM
2024-01-07,Braveheart,Level 5 Crypt,Fire Chest,1,MMM
2024-01-07,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-07,Fabrinir,Level 20 Crypt,Elegant Chest,84,MMM
2024-01-07,Jaakarhu,Level 20 Crypt,Sand Chest,84,MMM
2024-01-07,Braveheart,Level 10 Crypt,Elegant Chest,4,MMM
2024-01-07,Fabrinir,Level 20 Crypt,Elegant Chest,84,MMM
2024-01-07,Braveheart,Level 5 Crypt,Orc Chest,1,MMM
2024-01-07,Gradog,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Gradog,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Gradog,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Diovani,Level 10 Crypt,Bone Chest,4,MMM
2024-01-07,Diovani,Level 5 Crypt,Fire Chest,1,MMM
2024-01-07,Diovani,Level 10 Crypt,Stone Chest,4,MMM
2024-01-07,Lady G,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Lady G,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Lady G,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Fabrinir,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Fabrinir,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Fabrinir,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,DarkAngel,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-07,Fabrinir,Level 20 Crypt,Elegant Chest,84,MMM
2024-01-07,Golgotha,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Golgotha,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Golgotha,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Tumitac,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Tumitac,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Tumitac,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Fabrinir,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-07,Berohef,Level 15 epic Crypt,Minotaur Chest,34,MMM
2024-01-07,Ognisty Smok,Level 10 Crypt,Stone Chest,4,MMM
2024-01-07,Tumitac,Level 25 Crypt,Mayan Chest,275,MMM
2024-01-07,Immortal,Level 15 Crypt,Gnome Workshop Chest,17,MMM
2024-01-07,Immortal,Level 15 Crypt,Gnome Workshop Chest,17,MMM
2024-01-07,Berohef,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-07,Darvenen,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-07,Immortal,Level 15 Crypt,Stone Chest,17,MMM
2024-01-07,Golgotha,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-07,doc48,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,doc48,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,doc48,Union of Triumph personal reward,Union Chest,50,MMM
2024-01-07,Golgotha,Level 5 Crypt,Mayan Chest,1,MMM
2024-01-07,Ognisty Smok,Level 10 Crypt,Mayan Chest,4,MMM
2024-01-07,Golgotha,Level 5 Crypt,Gnome Workshop Chest,1,MMM
2024-01-07,Darvenen,Level 10 Crypt,Elegant Chest,4,MMM
2024-01-07,Berohef,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-07,Berohef,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-07,Tumitac,Level 25 Crypt,Bone Chest,275,MMM
2024-01-07,Ognisty Smok,Level 10 Crypt,Stone Chest,4,MMM
2024-01-07,doc48,Level 20 Crypt,Gnome Workshop Chest,84,MMM
2024-01-07,MADMAN,Level 20 Crypt,Fire Chest,84,MMM
2024-01-07,doc48,Level 10 Crypt,Sand Chest,4,MMM
2024-01-07,MADMAN,Level 20 Crypt,Barbarian Chest,84,MMM
2024-01-07,doc48,Level 15 epic Crypt,Cobalt Chest,34,MMM
2024-01-07,MADMAN,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-07,MADMAN,Level 20 Crypt,Orc Chest,84,MMM
2024-01-07,doc48,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-07,Darvenen,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-07,Berohef,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-07,NEVIO,Level 5 Crypt,Infernal Chest,1,MMM
2024-01-07,Berohef,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-07,NEVIO,Level 5 Crypt,Elegant Chest,1,MMM
2024-01-07,NEVIO,Level 5 Crypt,Elegant Chest,1,MMM
2024-01-07,Golgotha,Arena,Gladiator's Chest,2,MMM
2024-01-07,doc48,Level 20 epic Crypt,Scorpion Chest,168,MMM
2024-01-07,Berohef,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-07,Berohef,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-07,Mr BaCk,Level 20 Crypt,Stone Chest,84,MMM
2024-01-07,doc48,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-07,doc48,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-07,doc48,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-07,Tumi,Level 5 Crypt,Stone Chest,1,MMM
2024-01-07,Tumi,Level 20 Crypt,Cobra Chest,84,MMM
2024-01-07,Golgotha,Level 25-29 Vault of the Ancients,Sapphire Chest,50,MMM
2024-01-07,Mr BaCk,Level 25 Crypt,Orc Chest,275,MMM
2024-01-07,Darvenen,Level 15 epic Crypt,Titansteel Chest,34,MMM
2024-01-07,Mr BaCk,Level 20 Crypt,Orc Chest,84,MMM
2024-01-07,Darvenen,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-07,doc48,Level 35-39 Vault of the Ancients,Sapphire Chest,100,MMM
2024-01-07,NEVIO,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-07,doc48,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-07,Rhodry,Level 40-44 Vault of the Ancients,Sapphire Chest,125,MMM
2024-01-07,Darvenen,Level 10 Crypt,Forgotten Chest,4,MMM
2024-01-07,Mabrinad,Level 20 epic Crypt,Ancient Warrior's Chest,168,MMM
