DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-01-01,Germanicus,Bank,Wooden Chest,10,MMM
2024-01-01,Germanicus,Bank,Wooden Chest,10,MMM
2024-01-01,Germanicus,Bank,Wooden Chest,10,MMM
2024-01-01,Fabrinir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-01,Granidred,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-01,Kirimand,Level 15 Crypt,Cobra Chest,17,MMM
2024-01-01,Granidred,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-01,Diovani,Level 10 Crypt,Orc Chest,4,MMM
2024-01-01,Diovani,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-01,Diovani,Level 10 Crypt,Bone Chest,4,MMM
2024-01-01,Granidred,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-01,Fabrinir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-01,Braveheart,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-01,Braveheart,Level 5 Crypt,Stone Chest,1,MMM
2024-01-01,Granidred,Level 15 Crypt,Sand Chest,17,MMM
2024-01-01,Fabrinir,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-01,Braveheart,Level 10 Crypt,Mayan Chest,4,MMM
2024-01-01,Granidred,Level 10 Crypt,Elegant Chest,4,MMM
2024-01-01,Fabrinir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-01,Granidred,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-01,Fabrinir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-01,Immortal,Level 15 Crypt,Mayan Chest,17,MMM
2024-01-01,Germanicus,Level 25 Crypt,Bone Chest,275,MMM
2024-01-01,Immortal,Level 15 Crypt,Elegant Chest,17,MMM
2024-01-01,Immortal,Level 15 Crypt,Forgotten Chest,17,MMM
2024-01-01,Germanicus,Level 25 Crypt,Cobra Chest,275,MMM
2024-01-01,Amginir,Level 25 Crypt,Orc Chest,275,MMM
2024-01-01,Germanicus,Level 25 Crypt,Fire Chest,275,MMM
2024-01-01,Immortal,Level 20 Crypt,Bone Chest,84,MMM
2024-01-01,Germanicus,Level 35-39 Vault of the Ancients,Sapphire Chest,100,MMM
2024-01-01,Nilaath,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-01,Painmoon,Level 15 Crypt,Sand Chest,17,MMM
2024-01-01,Lady G,Level 20 Crypt,Cobra Chest,84,MMM
2024-01-01,Lady G,Level 15 Crypt,Cobra Chest,17,MMM
2024-01-01,Germanicus,Level 30-34 Vault of the Ancients,Sapphire Chest,80,MMM
2024-01-01,Nilaath,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-01,Painmoon,Level 15 Crypt,Forgotten Chest,17,MMM
2024-01-01,Painmoon,Level 15 Crypt,Elegant Chest,17,MMM
2024-01-01,Nilaath,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-01,Grikelv,Level 20 Crypt,Elegant Chest,84,MMM
2024-01-01,Germanicus,Level 35-39 Vault of the Ancients,Sapphire Chest,100,MMM
2024-01-01,Painmoon,Level 15 Crypt,Orc Chest,17,MMM
