DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-01-05,Germanicus,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-05,Germanicus,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-05,Immortal,Level 15 Crypt,Stone Chest,17,MMM
2024-01-05,Germanicus,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-05,Immortal,Level 25 Crypt,Gnome Workshop Chest,275,MMM
2024-01-05,Germanicus,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-05,LUCKY BEAR,Level 5 Crypt,Infernal Chest,1,MMM
2024-01-05,doc48,Level 20 Crypt,Elegant Chest,84,MMM
2024-01-05,Germanicus,Level 25 Citadel,Elven Citadel Chest,275,MMM
2024-01-05,Sir RES,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-05,Sir RES,Level 10 rare Crypt,Rare Dragon Chest,6,MMM
2024-01-05,Sir RES,Level 20 Crypt,Gnome Workshop Chest,84,MMM
2024-01-05,Sir RES,Level 10 Crypt,Forgotten Chest,4,MMM
2024-01-05,Kirimand,Level 15 Crypt,Mayan Chest,17,MMM
2024-01-05,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-05,Mr BaCk,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-05,Sir RES,Level 10 Crypt,Fire Chest,4,MMM
2024-01-05,Sir RES,Level 20 Crypt,Stone Chest,84,MMM
2024-01-05,Sir RES,Level 10 Crypt,Infernal Chest,4,MMM
2024-01-05,Sir RES,Level 15 Crypt,Cobra Chest,17,MMM
2024-01-05,Sir RES,Level 10 Crypt,Bone Chest,4,MMM
2024-01-05,Well Constantino,Level 20 Crypt,Mayan Chest,84,MMM
2024-01-05,Sir RES,Level 25 Crypt,Gnome Workshop Chest,275,MMM
2024-01-05,Xan,Level 15 Crypt,Fire Chest,17,MMM
2024-01-05,Sir RES,Level 10 Crypt,Mayan Chest,4,MMM
2024-01-05,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-05,Well Constantino,Level 20 Crypt,Mayan Chest,84,MMM
2024-01-05,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-05,Xan,Level 15 Crypt,Orc Chest,17,MMM
2024-01-05,Darvenen,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-05,Xan,Level 15 Crypt,Orc Chest,17,MMM
2024-01-05,Golgotha,Level 20 epic Crypt,Chest of the Cursed,168,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Orc Chest,84,MMM
2024-01-05,Xan,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-05,Xan,Level 15 Crypt,Orc Chest,17,MMM
2024-01-05,Sir RES,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-05,Sir RES,Level 10 Crypt,Barbarian Chest,4,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,Sir RES,Level 10 Crypt,Sand Chest,4,MMM
2024-01-05,Sir RES,Level 15 Crypt,Gnome Workshop Chest,17,MMM
2024-01-05,Xan,Level 15 Crypt,Orc Chest,17,MMM
2024-01-05,Maveriel,Level 5 Crypt,Cobra Chest,1,MMM
2024-01-05,idaco,Arena,Gladiator's Chest,2,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,Magda Ewa,Level 20 Citadel,Cursed Citadel Chest,84,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,Maveriel,Level 15 Crypt,Gnome Workshop Chest,17,MMM
2024-01-05,Magda Ewa,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-05,Jaakarhu,Level 20 Crypt,Forgotten Chest,84,MMM
