PLAYER,SCORE,COUNT,TIER
Accelerator,12,12,1
aganaway,7887,154,1
Alberikh,10045,71,2
Alexander Greek,1842,63,3
Amginir,1950,15,2
Bamsi,1138,58,3
Bjorn,3804,54,2
Brandemet,5709,84,1
Braveheart,4058,46,1
Braveheart JNR,980,34,3
Bubino71,34965,183,1
Conjudred,3844,31,1
D23,5912,71,2
Dacage,565,36,3
DAJMITU,717,9,1
DarkAngel,2727,93,2
desperados,14184,101,1
Diabolik,1886,46,1
doc48,5953,90,1
Dr BANNER,58,10,3
Eydaen,2626,95,2
Feli,15576,99,1
Finvenen,3,3,3
Fire Armor,4026,45,2
Foolish Mortal,604,36,2
Fosida,2276,30,1
Foxhunter,5842,50,1
Germanicus,10928,100,1
Gradog,5582,54,1
Grikelv,1724,35,3
Gros jnr,1236,29,3
Grosvenor,8367,49,1
Grozilkree,1141,46,3
Heretical Hermit,125734,500,1
Hulk,34795,151,1
idaco,3150,49,1
Immortal,1501,82,2
Kerilir,3007,38,2
Kirimand,1806,61,3
Kokosz,550,5,3
Lady G,3740,48,3
Lady Hawke,710,17,3
Legolas,2134,37,3
Lirafin,622,21,3
Lirinir,19748,107,1
Logan,6448,243,1
Mabrinad,3454,41,1
MADMAN,4029,84,3
Maedrosin,6638,59,2
Marcelo,4138,119,2
MarcusTC,1934,41,3
Marvi,9723,183,1
Mausida,2764,65,3
Mazura,1392,50,3
Mighty Forger,10023,91,1
MILI,68,5,2
Minerva,251,7,3
MMM,2500,126,
MONTES,11731,756,2
Morg,30878,149,1
Mr BaCk,7504,108,1
Muradin Bb,9476,68,2
NEVIO,6271,78,2
Nilaath,9183,85,1
Nobody special,203,15,3
Nygus,1869,72,3
Ognisty Smok,2,2,3
Painmoon,2136,33,3
Pearl,6936,90,2
Racibor,5016,79,2
Rain,5256,48,1
Rainblade,1668,76,2
RatkoM,3243,31,1
Ray Gillette,103,3,3
Rebellion,2050,26,3
RED GUARDIAN,3220,49,3
Rori,1072,37,3
Rudepravo Itali,2624,52,2
Rudolf,5704,93,1
Sabar,1269,27,3
Saucy Joy,1320,48,3
Silverblade,9457,663,3
Sir Cthulhu I,2459,33,3
Sir RES,4652,123,2
Sire Menion,1957,50,1
Tha Supreme,2616,57,3
The Gladiator,23,3,3
Thorn,15728,91,2
Thoth,6004,59,1
T NOBUNAGA,1047,69,3
Tricolor Carioca,2200,43,2
Tumitac,11850,87,1
Uhtred,4800,53,2
Vlad the Impaler,6026,126,2
Well Constantino,8456,135,2
Xan,1573,27,2
Xena,799,17,3
zipkinci,787,14,3
3CPo,0,0,
Aegrosad,0,0,
Archie,0,0,
Arni,0,0,
Bad FutherMucker,0,0,
Black Mamba,0,0,
Brann Bronzebeard,0,0,
Brightskin,0,0,
Cain,0,0,
Catty,0,0,
Cenaya,0,0,
Cerim,0,0,
Cesarz Saleka,0,0,
Cesarzowa Cwieka,0,0,
Cosmic Dancer,0,0,
Cyril Figgis,0,0,
DON IRON MIKE TYSON,0,0,
Dafur,0,0,
Deep Inside,0,0,
Digore,0,0,
Doctor Krieger,0,0,
Dragon Armor,0,0,
Drugo,0,0,
Dugul,0,0,
EL CHAPO GUZMAN,0,0,
FERDAUS,0,0,
Fagon,0,0,
Felharne,0,0,
Fisk,0,0,
Funfiren,0,0,
Genghis Khan,0,0,
Granidred,0,0,
Haiiro,0,0,
Heimdall,0,0,
Hermit,0,0,
Immortal I,0,0,
Jeepster,0,0,
Jill,0,0,
KARMA,0,0,
KASS,0,0,
Kajko,0,0,
Kall,0,0,
Karo 3,0,0,
Karodor,0,0,
Karodor2,0,0,
Kit Carson,0,0,
Kordobrek,0,0,
Kyperion Du Torbiney,0,0,
LETS GO BRANDON,0,0,
Lanfir,0,0,
Lanmoin,0,0,
Legon,0,0,
Lerinad,0,0,
Lilor,0,0,
Lorfanor,0,0,
Luciditee,0,0,
MIYAMOTO MUSASHI,0,0,
MMMm,0,0,
Maanan,0,0,
Mador,0,0,
Maelstrom,0,0,
Mal the Uncrowned,0,0,
Manandis,0,0,
Marco,0,0,
Marvilla,0,0,
Masius,0,0,
Maximus Decimus,0,0,
Meddry,0,0,
Mingo 2,0,0,
Modnar,0,0,
Monster Killer,0,0,
Morn,0,0,
NaChos,0,0,
Nevyn,0,0,
Norbee1984,0,0,
Pryntyl,0,0,
Puck,0,0,
Quick,0,0,
Rhodorix,0,0,
Rhodry,0,0,
Sailv,0,0,
Sassy Gal,0,0,
Secret Keeper,0,0,
Sir Chthulhu I,0,0,
Sir James III Son of Hadur,0,0,
Smok,0,0,
Smokn,0,0,
StarSailor,0,0,
Sterling Archer,0,0,
Tex Willer,0,0,
Thor,0,0,
Tonto,0,0,
Turbrimir,0,0,
Tygojind,0,0,
Tygoran,0,0,
Tygradi,0,0,
Viper I,0,0,
Xavier St Cloud,0,0,
Xenia,0,0,
ZaCk,0,0,
nervous,0,0,
semoury,0,0,
