PLAYER,SCORE,COUNT
Hulk,128897,445
Brandemet,39531,476
Karodor,36388,189
Rhodry,25322,132
Cesarz Saleka,21448,115
Feli,16898,118
Heretical Hermit,16761,100
Mabrinad,15496,103
Muradin Bronzebeard,15197,174
Thorn,13726,133
Eydaen,12076,124
Sir James III Son of Hadur,11552,102
Braveheart,11113,144
Thoth,11004,181
Fosida,10561,144
Pearl,9796,147
Morg,9354,302
Mal the Uncrowned,8913,50
Mr BaCk,7623,101
Tumitac,7409,120
Marvi,7368,206
KARMA,7360,60
Maximus Decimus,7168,43
RatkoM,7055,37
Bjorn,6825,112
Sailv,6630,137
MMM,6250,1768
Amginir,6167,43
ZaCk,6125,110
Kerilir,5838,101
Grosvenor,5777,56
Lady G,5629,106
Xena,5535,106
Sir Cthulhu I,5502,78
Sir RES,5436,165
Mighty Forger,5322,46
Archie,5188,96
Gradog,5080,45
DarkAngel,5036,121
Rain,4895,56
Maedrosin,4735,49
Foolish Mortal,4692,91
Legolas,4626,46
Rudolf,4505,138
Uhtred,4376,63
Rainblade,4292,107
MONTES,4175,120
Luciditee,4049,44
Well Constantino,3913,99
Genghis Khan,3789,62
Alberikh,3646,33
Cain,3558,71
Lirinir,3500,15
D23,3473,76
Vlad the Impaler,3212,92
Rebellion,3186,62
RED GUARDIAN,3088,44
Conjudred,3080,31
Tex Willer,3009,31
Sire Menion,2662,64
EL CHAPO GUZMAN,2526,138
Painmoon,2439,40
Karodor2,2433,69
Mazura,2361,96
DAJMITU,2327,21
MILI,2276,46
Nobody special,2231,92
Saucy Joy,2151,77
Dr Bruce BANNER,2089,39
zipkinci,1989,50
Doctor Krieger,1896,97
Xan,1859,45
Sassy Gal,1829,62
Immortal,1761,122
Kirimand,1636,70
Grozilkree,1632,94
Rhodorix,1628,29
Braveheart JNR,1492,39
Diabolik,1408,41
StarSailor,1081,24
Viper I,1040,56
MIYAMOTO MUSASHI,1001,57
Silverblade,957,48
Lorfanor,945,32
Cesarzowa Cwieka,848,22
TOKUGAWA NOBUNAGA,839,55
Nevyn,690,14
Deep Inside,613,17
nervous,608,86
Mingo 2,588,7
Dragon Armor,547,35
Fire Armor,525,27
Bamsi,398,35
Dugul,395,21
Nygus,359,19
Foxhunter,352,6
3CPo,262,8
DON IRON MIKE TYSON,250,10
Cenaya,250,5
Quick,206,7
Cyril Figgis,68,4
Immortal I,51,17
Digore,46,20
Lanfir,39,24
Pryntyl,6,3
Accelerator,0,0
Aegrosad,0,0
Arni,0,0
Bad FutherMucker,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Brightskin,0,0
Bubino71,0,0
Catty,0,0
Cerim,0,0
Cosmic Dancer,0,0
Dacage,0,0
Dafur,0,0
Drugo,0,0
FERDAUS,0,0
Fagon,0,0
Felharne,0,0
Fisk,0,0
Funfiren,0,0
Germanicus,0,0
Granidred,0,0
Grikelv,0,0
Gros jnr,0,0
Haiiro,0,0
Heimdall,0,0
Hermit,0,0
Jeepster,0,0
Jill,0,0
KASS,0,0
Kajko,0,0
Kall,0,0
Karo 3,0,0
Kit Carson,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
LETS GO BRANDON,0,0
Lady Hawke,0,0
Lanmoin,0,0
Legon,0,0
Lerinad,0,0
Lilor,0,0
Lirafin,0,0
Logan,0,0
MADMAN,0,0
MMMm,0,0
Maanan,0,0
Mador,0,0
Maelstrom,0,0
Manandis,0,0
Marcelo,0,0
Marco,0,0
MarcusTulliusCicero,0,0
Marvilla,0,0
Masius,0,0
Mausida,0,0
Meddry,0,0
Minerva,0,0
Modnar,0,0
Monster Killer,0,0
Morn,0,0
NEVIO,0,0
NaChos,0,0
Nilaath,0,0
Norbee1984,0,0
Ognisty Smok,0,0
Puck,0,0
Racibor,0,0
Ray Gillette,0,0
Rudepravo Italiano,0,0
Sabar,0,0
Secret Keeper,0,0
Sir Chthulhu I,0,0
Smok,0,0
Smokn,0,0
Sterling Archer,0,0
Tha Supreme,0,0
The Gladiator,0,0
Thor,0,0
Tonto,0,0
Tricolor Carioca,0,0
Turbrimir,0,0
Tygojind,0,0
Tygoran,0,0
Tygradi,0,0
Xavier St Cloud,0,0
Xenia,0,0
aganaway,0,0
desperados,0,0
doc48,0,0
idaco,0,0
semoury,0,0
